Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,81057,1965,01,01,31.1,1,Y
IDCJAC0010,81057,1965,01,02,,,
IDCJAC0010,81057,1965,01,03,32.8,1,Y
IDCJAC0010,81057,1965,01,04,,,
IDCJAC0010,81057,1965,01,05,32.8,1,Y
IDCJAC0010,81057,1965,01,06,28.3,1,Y
IDCJAC0010,81057,1965,01,07,30.6,1,Y
IDCJAC0010,81057,1965,01,08,,,
IDCJAC0010,81057,1965,01,09,,,
IDCJAC0010,81057,1965,01,10,38.3,1,Y
IDCJAC0010,81057,1965,01,11,21.1,1,Y
IDCJAC0010,81057,1965,01,12,23.9,1,Y
IDCJAC0010,81057,1965,01,13,24.4,1,Y
IDCJAC0010,81057,1965,01,14,29.4,1,Y
IDCJAC0010,81057,1965,01,15,34.4,1,Y
IDCJAC0010,81057,1965,01,16,,,
IDCJAC0010,81057,1965,01,17,39.4,1,Y
IDCJAC0010,81057,1965,01,18,26.7,1,Y
IDCJAC0010,81057,1965,01,19,23.9,1,Y
IDCJAC0010,81057,1965,01,20,21.7,1,Y
IDCJAC0010,81057,1965,01,21,27.8,1,Y
IDCJAC0010,81057,1965,01,22,29.4,1,Y
IDCJAC0010,81057,1965,01,23,,,
IDCJAC0010,81057,1965,01,24,32.2,1,Y
IDCJAC0010,81057,1965,01,25,27.8,1,Y
IDCJAC0010,81057,1965,01,26,28.3,1,Y
IDCJAC0010,81057,1965,01,27,30.0,1,Y
IDCJAC0010,81057,1965,01,28,31.1,1,Y
IDCJAC0010,81057,1965,01,29,32.8,1,Y
IDCJAC0010,81057,1965,01,30,,,
IDCJAC0010,81057,1965,01,31,,,
IDCJAC0010,81057,1965,02,01,,,
IDCJAC0010,81057,1965,02,02,31.7,1,Y
IDCJAC0010,81057,1965,02,03,35.6,1,Y
IDCJAC0010,81057,1965,02,04,32.2,1,Y
IDCJAC0010,81057,1965,02,05,32.8,1,Y
IDCJAC0010,81057,1965,02,06,,,
IDCJAC0010,81057,1965,02,07,33.3,1,Y
IDCJAC0010,81057,1965,02,08,36.7,1,Y
IDCJAC0010,81057,1965,02,09,31.7,1,Y
IDCJAC0010,81057,1965,02,10,25.0,1,Y
IDCJAC0010,81057,1965,02,11,23.3,1,Y
IDCJAC0010,81057,1965,02,12,28.9,1,Y
IDCJAC0010,81057,1965,02,13,,,
IDCJAC0010,81057,1965,02,14,35.0,1,Y
IDCJAC0010,81057,1965,02,15,37.2,1,Y
IDCJAC0010,81057,1965,02,16,40.6,1,Y
IDCJAC0010,81057,1965,02,17,39.4,1,Y
IDCJAC0010,81057,1965,02,18,38.9,1,Y
IDCJAC0010,81057,1965,02,19,33.3,1,Y
IDCJAC0010,81057,1965,02,20,,,
IDCJAC0010,81057,1965,02,21,40.6,1,Y
IDCJAC0010,81057,1965,02,22,32.2,1,Y
IDCJAC0010,81057,1965,02,23,27.8,1,Y
IDCJAC0010,81057,1965,02,24,29.4,1,Y
IDCJAC0010,81057,1965,02,25,30.0,1,Y
IDCJAC0010,81057,1965,02,26,30.0,1,Y
IDCJAC0010,81057,1965,02,27,,,
IDCJAC0010,81057,1965,02,28,,,
IDCJAC0010,81057,1965,03,01,33.3,,Y
IDCJAC0010,81057,1965,03,02,35.6,1,Y
IDCJAC0010,81057,1965,03,03,38.3,1,Y
IDCJAC0010,81057,1965,03,04,39.4,1,Y
IDCJAC0010,81057,1965,03,05,32.2,1,Y
IDCJAC0010,81057,1965,03,06,,,
IDCJAC0010,81057,1965,03,07,38.9,1,Y
IDCJAC0010,81057,1965,03,08,32.8,1,Y
IDCJAC0010,81057,1965,03,09,28.9,1,Y
IDCJAC0010,81057,1965,03,10,22.2,1,Y
IDCJAC0010,81057,1965,03,11,28.9,1,Y
IDCJAC0010,81057,1965,03,12,33.9,1,Y
IDCJAC0010,81057,1965,03,13,,,
IDCJAC0010,81057,1965,03,14,,,
IDCJAC0010,81057,1965,03,15,20.6,,Y
IDCJAC0010,81057,1965,03,16,26.1,1,Y
IDCJAC0010,81057,1965,03,17,32.2,1,Y
IDCJAC0010,81057,1965,03,18,31.1,1,Y
IDCJAC0010,81057,1965,03,19,35.0,1,Y
IDCJAC0010,81057,1965,03,20,,,
IDCJAC0010,81057,1965,03,21,30.6,1,Y
IDCJAC0010,81057,1965,03,22,25.6,1,Y
IDCJAC0010,81057,1965,03,23,22.8,1,Y
IDCJAC0010,81057,1965,03,24,21.7,1,Y
IDCJAC0010,81057,1965,03,25,23.3,1,Y
IDCJAC0010,81057,1965,03,26,25.6,1,Y
IDCJAC0010,81057,1965,03,27,,,
IDCJAC0010,81057,1965,03,28,25.6,1,Y
IDCJAC0010,81057,1965,03,29,32.2,1,Y
IDCJAC0010,81057,1965,03,30,24.4,1,Y
IDCJAC0010,81057,1965,03,31,23.9,1,Y
IDCJAC0010,81057,1965,04,01,25.0,1,Y
IDCJAC0010,81057,1965,04,02,22.8,1,Y
IDCJAC0010,81057,1965,04,03,,,
IDCJAC0010,81057,1965,04,04,21.7,1,Y
IDCJAC0010,81057,1965,04,05,25.6,1,Y
IDCJAC0010,81057,1965,04,06,21.1,1,Y
IDCJAC0010,81057,1965,04,07,23.3,1,Y
IDCJAC0010,81057,1965,04,08,24.4,1,Y
IDCJAC0010,81057,1965,04,09,23.9,1,Y
IDCJAC0010,81057,1965,04,10,,,
IDCJAC0010,81057,1965,04,11,24.4,1,Y
IDCJAC0010,81057,1965,04,12,,,
IDCJAC0010,81057,1965,04,13,23.3,1,Y
IDCJAC0010,81057,1965,04,14,21.7,1,Y
IDCJAC0010,81057,1965,04,15,,,
IDCJAC0010,81057,1965,04,16,23.3,1,Y
IDCJAC0010,81057,1965,04,17,,,
IDCJAC0010,81057,1965,04,18,,,
IDCJAC0010,81057,1965,04,19,26.1,1,Y
IDCJAC0010,81057,1965,04,20,18.9,1,Y
IDCJAC0010,81057,1965,04,21,16.1,1,Y
IDCJAC0010,81057,1965,04,22,17.2,1,Y
IDCJAC0010,81057,1965,04,23,20.0,1,Y
IDCJAC0010,81057,1965,04,24,19.4,1,Y
IDCJAC0010,81057,1965,04,25,20.0,1,Y
IDCJAC0010,81057,1965,04,26,21.1,1,Y
IDCJAC0010,81057,1965,04,27,21.7,1,Y
IDCJAC0010,81057,1965,04,28,19.4,1,Y
IDCJAC0010,81057,1965,04,29,22.2,1,Y
IDCJAC0010,81057,1965,04,30,21.1,1,Y
IDCJAC0010,81057,1965,05,01,,,
IDCJAC0010,81057,1965,05,02,21.1,1,Y
IDCJAC0010,81057,1965,05,03,23.9,1,Y
IDCJAC0010,81057,1965,05,04,23.3,1,Y
IDCJAC0010,81057,1965,05,05,23.9,1,Y
IDCJAC0010,81057,1965,05,06,22.2,1,Y
IDCJAC0010,81057,1965,05,07,24.4,1,Y
IDCJAC0010,81057,1965,05,08,,,
IDCJAC0010,81057,1965,05,09,23.9,1,Y
IDCJAC0010,81057,1965,05,10,24.4,1,Y
IDCJAC0010,81057,1965,05,11,20.0,1,Y
IDCJAC0010,81057,1965,05,12,17.8,1,Y
IDCJAC0010,81057,1965,05,13,19.4,1,Y
IDCJAC0010,81057,1965,05,14,18.3,1,Y
IDCJAC0010,81057,1965,05,15,,,
IDCJAC0010,81057,1965,05,16,,,
IDCJAC0010,81057,1965,05,17,,,
IDCJAC0010,81057,1965,05,18,,,
IDCJAC0010,81057,1965,05,19,,,
IDCJAC0010,81057,1965,05,20,,,
IDCJAC0010,81057,1965,05,21,,,
IDCJAC0010,81057,1965,05,22,,,
IDCJAC0010,81057,1965,05,23,,,
IDCJAC0010,81057,1965,05,24,,,
IDCJAC0010,81057,1965,05,25,,,
IDCJAC0010,81057,1965,05,26,,,
IDCJAC0010,81057,1965,05,27,,,
IDCJAC0010,81057,1965,05,28,,,
IDCJAC0010,81057,1965,05,29,,,
IDCJAC0010,81057,1965,05,30,,,
IDCJAC0010,81057,1965,05,31,,,
IDCJAC0010,81057,1965,06,01,,,
IDCJAC0010,81057,1965,06,02,,,
IDCJAC0010,81057,1965,06,03,,,
IDCJAC0010,81057,1965,06,04,,,
IDCJAC0010,81057,1965,06,05,,,
IDCJAC0010,81057,1965,06,06,,,
IDCJAC0010,81057,1965,06,07,,,
IDCJAC0010,81057,1965,06,08,,,
IDCJAC0010,81057,1965,06,09,17.8,,Y
IDCJAC0010,81057,1965,06,10,17.8,1,Y
IDCJAC0010,81057,1965,06,11,16.7,1,Y
IDCJAC0010,81057,1965,06,12,,,
IDCJAC0010,81057,1965,06,13,,,
IDCJAC0010,81057,1965,06,14,12.8,1,Y
IDCJAC0010,81057,1965,06,15,15.6,1,Y
IDCJAC0010,81057,1965,06,16,17.2,1,Y
IDCJAC0010,81057,1965,06,17,16.7,1,Y
IDCJAC0010,81057,1965,06,18,16.7,1,Y
IDCJAC0010,81057,1965,06,19,,,
IDCJAC0010,81057,1965,06,20,11.7,1,Y
IDCJAC0010,81057,1965,06,21,13.3,1,Y
IDCJAC0010,81057,1965,06,22,11.7,1,Y
IDCJAC0010,81057,1965,06,23,9.4,1,Y
IDCJAC0010,81057,1965,06,24,11.1,1,Y
IDCJAC0010,81057,1965,06,25,11.7,1,Y
IDCJAC0010,81057,1965,06,26,11.7,1,Y
IDCJAC0010,81057,1965,06,27,11.7,1,Y
IDCJAC0010,81057,1965,06,28,14.4,1,Y
IDCJAC0010,81057,1965,06,29,15.0,1,Y
IDCJAC0010,81057,1965,06,30,13.3,1,Y
IDCJAC0010,81057,1965,07,01,12.8,1,Y
IDCJAC0010,81057,1965,07,02,16.7,1,Y
IDCJAC0010,81057,1965,07,03,,,
IDCJAC0010,81057,1965,07,04,12.8,1,Y
IDCJAC0010,81057,1965,07,05,16.1,1,Y
IDCJAC0010,81057,1965,07,06,8.3,1,Y
IDCJAC0010,81057,1965,07,07,11.7,1,Y
IDCJAC0010,81057,1965,07,08,13.3,1,Y
IDCJAC0010,81057,1965,07,09,,,
IDCJAC0010,81057,1965,07,10,,,
IDCJAC0010,81057,1965,07,11,11.7,1,Y
IDCJAC0010,81057,1965,07,12,7.8,1,Y
IDCJAC0010,81057,1965,07,13,8.9,1,Y
IDCJAC0010,81057,1965,07,14,13.3,1,Y
IDCJAC0010,81057,1965,07,15,,,
IDCJAC0010,81057,1965,07,16,12.2,,Y
IDCJAC0010,81057,1965,07,17,,,
IDCJAC0010,81057,1965,07,18,12.2,1,Y
IDCJAC0010,81057,1965,07,19,13.3,1,Y
IDCJAC0010,81057,1965,07,20,15.6,1,Y
IDCJAC0010,81057,1965,07,21,,,
IDCJAC0010,81057,1965,07,22,15.6,,Y
IDCJAC0010,81057,1965,07,23,8.9,1,Y
IDCJAC0010,81057,1965,07,24,,,
IDCJAC0010,81057,1965,07,25,11.1,1,Y
IDCJAC0010,81057,1965,07,26,12.8,1,Y
IDCJAC0010,81057,1965,07,27,11.1,1,Y
IDCJAC0010,81057,1965,07,28,10.0,1,Y
IDCJAC0010,81057,1965,07,29,10.6,1,Y
IDCJAC0010,81057,1965,07,30,13.3,1,Y
IDCJAC0010,81057,1965,07,31,13.9,1,Y
IDCJAC0010,81057,1965,08,01,15.6,1,Y
IDCJAC0010,81057,1965,08,02,17.8,1,Y
IDCJAC0010,81057,1965,08,03,18.1,1,Y
IDCJAC0010,81057,1965,08,04,13.9,1,Y
IDCJAC0010,81057,1965,08,05,12.5,1,Y
IDCJAC0010,81057,1965,08,06,11.2,1,Y
IDCJAC0010,81057,1965,08,07,,,
IDCJAC0010,81057,1965,08,08,,,
IDCJAC0010,81057,1965,08,09,15.7,1,Y
IDCJAC0010,81057,1965,08,10,11.1,1,Y
IDCJAC0010,81057,1965,08,11,11.4,1,Y
IDCJAC0010,81057,1965,08,12,,,
IDCJAC0010,81057,1965,08,13,16.4,1,Y
IDCJAC0010,81057,1965,08,14,,,
IDCJAC0010,81057,1965,08,15,14.0,1,Y
IDCJAC0010,81057,1965,08,16,,,
IDCJAC0010,81057,1965,08,17,13.3,,Y
IDCJAC0010,81057,1965,08,18,12.8,1,Y
IDCJAC0010,81057,1965,08,19,12.8,1,Y
IDCJAC0010,81057,1965,08,20,10.3,1,Y
IDCJAC0010,81057,1965,08,21,14.7,1,Y
IDCJAC0010,81057,1965,08,22,15.6,1,Y
IDCJAC0010,81057,1965,08,23,,,
IDCJAC0010,81057,1965,08,24,14.9,,Y
IDCJAC0010,81057,1965,08,25,14.4,1,Y
IDCJAC0010,81057,1965,08,26,11.8,1,Y
IDCJAC0010,81057,1965,08,27,17.8,1,Y
IDCJAC0010,81057,1965,08,28,,,
IDCJAC0010,81057,1965,08,29,20.8,1,Y
IDCJAC0010,81057,1965,08,30,19.4,1,Y
IDCJAC0010,81057,1965,08,31,21.7,1,Y
