Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,82034,1965,01,01,31.1,,Y
IDCJAC0010,82034,1965,01,02,32.2,1,Y
IDCJAC0010,82034,1965,01,03,32.8,1,Y
IDCJAC0010,82034,1965,01,04,33.3,1,Y
IDCJAC0010,82034,1965,01,05,33.3,1,Y
IDCJAC0010,82034,1965,01,06,31.1,1,Y
IDCJAC0010,82034,1965,01,07,31.1,1,Y
IDCJAC0010,82034,1965,01,08,31.1,1,Y
IDCJAC0010,82034,1965,01,09,,,
IDCJAC0010,82034,1965,01,10,37.2,1,Y
IDCJAC0010,82034,1965,01,11,20.6,1,Y
IDCJAC0010,82034,1965,01,12,23.3,1,Y
IDCJAC0010,82034,1965,01,13,26.7,1,Y
IDCJAC0010,82034,1965,01,14,28.9,1,Y
IDCJAC0010,82034,1965,01,15,33.3,1,Y
IDCJAC0010,82034,1965,01,16,,,
IDCJAC0010,82034,1965,01,17,39.4,1,Y
IDCJAC0010,82034,1965,01,18,27.2,1,Y
IDCJAC0010,82034,1965,01,19,24.4,1,Y
IDCJAC0010,82034,1965,01,20,21.7,1,Y
IDCJAC0010,82034,1965,01,21,27.8,1,Y
IDCJAC0010,82034,1965,01,22,31.7,1,Y
IDCJAC0010,82034,1965,01,23,,,
IDCJAC0010,82034,1965,01,24,32.2,1,Y
IDCJAC0010,82034,1965,01,25,27.8,1,Y
IDCJAC0010,82034,1965,01,26,27.2,1,Y
IDCJAC0010,82034,1965,01,27,30.0,1,Y
IDCJAC0010,82034,1965,01,28,31.7,1,Y
IDCJAC0010,82034,1965,01,29,33.3,1,Y
IDCJAC0010,82034,1965,01,30,,,
IDCJAC0010,82034,1965,01,31,,,
IDCJAC0010,82034,1965,02,01,32.8,1,Y
IDCJAC0010,82034,1965,02,02,33.3,1,Y
IDCJAC0010,82034,1965,02,03,35.0,1,Y
IDCJAC0010,82034,1965,02,04,30.6,1,Y
IDCJAC0010,82034,1965,02,05,34.4,1,Y
IDCJAC0010,82034,1965,02,06,,,
IDCJAC0010,82034,1965,02,07,33.3,1,Y
IDCJAC0010,82034,1965,02,08,36.1,1,Y
IDCJAC0010,82034,1965,02,09,33.9,1,Y
IDCJAC0010,82034,1965,02,10,26.1,1,Y
IDCJAC0010,82034,1965,02,11,25.0,1,Y
IDCJAC0010,82034,1965,02,12,28.9,1,Y
IDCJAC0010,82034,1965,02,13,,,
IDCJAC0010,82034,1965,02,14,34.4,1,Y
IDCJAC0010,82034,1965,02,15,36.1,1,Y
IDCJAC0010,82034,1965,02,16,34.4,1,Y
IDCJAC0010,82034,1965,02,17,38.9,1,Y
IDCJAC0010,82034,1965,02,18,38.3,1,Y
IDCJAC0010,82034,1965,02,19,29.4,1,Y
IDCJAC0010,82034,1965,02,20,,,
IDCJAC0010,82034,1965,02,21,38.9,1,Y
IDCJAC0010,82034,1965,02,22,32.2,1,Y
IDCJAC0010,82034,1965,02,23,30.0,1,Y
IDCJAC0010,82034,1965,02,24,31.1,1,Y
IDCJAC0010,82034,1965,02,25,32.2,1,Y
IDCJAC0010,82034,1965,02,26,31.1,1,Y
IDCJAC0010,82034,1965,02,27,,,
IDCJAC0010,82034,1965,02,28,32.8,1,Y
IDCJAC0010,82034,1965,03,01,36.1,1,Y
IDCJAC0010,82034,1965,03,02,37.2,1,Y
IDCJAC0010,82034,1965,03,03,38.9,1,Y
IDCJAC0010,82034,1965,03,04,38.9,1,Y
IDCJAC0010,82034,1965,03,05,37.8,1,Y
IDCJAC0010,82034,1965,03,06,,,
IDCJAC0010,82034,1965,03,07,33.9,1,Y
IDCJAC0010,82034,1965,03,08,29.4,1,Y
IDCJAC0010,82034,1965,03,09,22.2,1,Y
IDCJAC0010,82034,1965,03,10,27.8,1,Y
IDCJAC0010,82034,1965,03,11,33.9,1,Y
IDCJAC0010,82034,1965,03,12,20.0,1,Y
IDCJAC0010,82034,1965,03,13,,,
IDCJAC0010,82034,1965,03,14,20.6,1,Y
IDCJAC0010,82034,1965,03,15,,,
IDCJAC0010,82034,1965,03,16,,,
IDCJAC0010,82034,1965,03,17,,,
IDCJAC0010,82034,1965,03,18,,,
IDCJAC0010,82034,1965,03,19,,,
IDCJAC0010,82034,1965,03,20,,,
IDCJAC0010,82034,1965,03,21,,,
IDCJAC0010,82034,1965,03,22,23.3,,Y
IDCJAC0010,82034,1965,03,23,24.4,1,Y
IDCJAC0010,82034,1965,03,24,25.0,1,Y
IDCJAC0010,82034,1965,03,25,22.2,1,Y
IDCJAC0010,82034,1965,03,26,25.0,1,Y
IDCJAC0010,82034,1965,03,27,,,
IDCJAC0010,82034,1965,03,28,31.1,1,Y
IDCJAC0010,82034,1965,03,29,27.2,1,Y
IDCJAC0010,82034,1965,03,30,26.1,1,Y
IDCJAC0010,82034,1965,03,31,25.6,1,Y
IDCJAC0010,82034,1965,04,01,22.2,1,Y
IDCJAC0010,82034,1965,04,02,22.8,1,Y
IDCJAC0010,82034,1965,04,03,,,
IDCJAC0010,82034,1965,04,04,25.0,1,Y
IDCJAC0010,82034,1965,04,05,21.7,1,Y
IDCJAC0010,82034,1965,04,06,24.4,1,Y
IDCJAC0010,82034,1965,04,07,25.6,1,Y
IDCJAC0010,82034,1965,04,08,24.4,1,Y
IDCJAC0010,82034,1965,04,09,25.6,1,Y
IDCJAC0010,82034,1965,04,10,,,
IDCJAC0010,82034,1965,04,11,23.3,1,Y
IDCJAC0010,82034,1965,04,12,24.4,1,Y
