Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,83033,1957,01,01,23.9,,Y
IDCJAC0010,83033,1957,01,02,27.2,1,Y
IDCJAC0010,83033,1957,01,03,30.0,1,Y
IDCJAC0010,83033,1957,01,04,26.7,1,Y
IDCJAC0010,83033,1957,01,05,26.1,1,Y
IDCJAC0010,83033,1957,01,06,25.6,1,Y
IDCJAC0010,83033,1957,01,07,17.8,1,Y
IDCJAC0010,83033,1957,01,08,16.1,1,Y
IDCJAC0010,83033,1957,01,09,23.3,1,Y
IDCJAC0010,83033,1957,01,10,21.1,1,Y
IDCJAC0010,83033,1957,01,11,25.6,1,Y
IDCJAC0010,83033,1957,01,12,29.4,1,Y
IDCJAC0010,83033,1957,01,13,31.1,1,Y
IDCJAC0010,83033,1957,01,14,28.9,1,Y
IDCJAC0010,83033,1957,01,15,28.3,1,Y
IDCJAC0010,83033,1957,01,16,21.1,1,Y
IDCJAC0010,83033,1957,01,17,24.4,1,Y
IDCJAC0010,83033,1957,01,18,28.9,1,Y
IDCJAC0010,83033,1957,01,19,16.1,1,Y
IDCJAC0010,83033,1957,01,20,21.7,1,Y
IDCJAC0010,83033,1957,01,21,23.9,1,Y
IDCJAC0010,83033,1957,01,22,26.7,1,Y
IDCJAC0010,83033,1957,01,23,26.7,1,Y
IDCJAC0010,83033,1957,01,24,22.2,1,Y
IDCJAC0010,83033,1957,01,25,17.2,1,Y
IDCJAC0010,83033,1957,01,26,12.8,1,Y
IDCJAC0010,83033,1957,01,27,22.8,1,Y
IDCJAC0010,83033,1957,01,28,27.2,1,Y
IDCJAC0010,83033,1957,01,29,30.0,1,Y
IDCJAC0010,83033,1957,01,30,31.1,1,Y
IDCJAC0010,83033,1957,01,31,32.2,1,Y
IDCJAC0010,83033,1957,02,01,31.1,1,Y
IDCJAC0010,83033,1957,02,02,27.2,1,Y
IDCJAC0010,83033,1957,02,03,18.9,1,Y
IDCJAC0010,83033,1957,02,04,24.4,1,Y
IDCJAC0010,83033,1957,02,05,27.8,1,Y
IDCJAC0010,83033,1957,02,06,26.1,1,Y
IDCJAC0010,83033,1957,02,07,20.0,1,Y
IDCJAC0010,83033,1957,02,08,22.8,1,Y
IDCJAC0010,83033,1957,02,09,25.0,1,Y
IDCJAC0010,83033,1957,02,10,23.3,1,Y
IDCJAC0010,83033,1957,02,11,16.7,1,Y
IDCJAC0010,83033,1957,02,12,25.0,1,Y
IDCJAC0010,83033,1957,02,13,28.3,1,Y
IDCJAC0010,83033,1957,02,14,28.3,1,Y
IDCJAC0010,83033,1957,02,15,19.4,1,Y
IDCJAC0010,83033,1957,02,16,18.9,1,Y
IDCJAC0010,83033,1957,02,17,25.0,1,Y
IDCJAC0010,83033,1957,02,18,25.6,1,Y
IDCJAC0010,83033,1957,02,19,30.0,1,Y
IDCJAC0010,83033,1957,02,20,30.0,1,Y
IDCJAC0010,83033,1957,02,21,18.9,1,Y
IDCJAC0010,83033,1957,02,22,23.3,1,Y
IDCJAC0010,83033,1957,02,23,24.4,1,Y
IDCJAC0010,83033,1957,02,24,25.0,1,Y
IDCJAC0010,83033,1957,02,25,17.2,1,Y
IDCJAC0010,83033,1957,02,26,27.8,1,Y
IDCJAC0010,83033,1957,02,27,27.2,1,Y
IDCJAC0010,83033,1957,02,28,27.2,1,Y
IDCJAC0010,83033,1957,03,01,29.4,1,Y
IDCJAC0010,83033,1957,03,02,26.1,1,Y
IDCJAC0010,83033,1957,03,03,20.6,1,Y
IDCJAC0010,83033,1957,03,04,20.6,1,Y
IDCJAC0010,83033,1957,03,05,23.3,1,Y
IDCJAC0010,83033,1957,03,06,23.9,1,Y
IDCJAC0010,83033,1957,03,07,25.6,1,Y
IDCJAC0010,83033,1957,03,08,26.7,1,Y
IDCJAC0010,83033,1957,03,09,21.1,1,Y
IDCJAC0010,83033,1957,03,10,15.6,1,Y
IDCJAC0010,83033,1957,03,11,20.0,1,Y
IDCJAC0010,83033,1957,03,12,21.1,1,Y
IDCJAC0010,83033,1957,03,13,18.3,1,Y
IDCJAC0010,83033,1957,03,14,11.7,1,Y
IDCJAC0010,83033,1957,03,15,12.2,1,Y
IDCJAC0010,83033,1957,03,16,12.2,1,Y
IDCJAC0010,83033,1957,03,17,20.0,1,Y
IDCJAC0010,83033,1957,03,18,23.9,1,Y
IDCJAC0010,83033,1957,03,19,18.3,1,Y
IDCJAC0010,83033,1957,03,20,20.0,1,Y
IDCJAC0010,83033,1957,03,21,23.9,1,Y
IDCJAC0010,83033,1957,03,22,21.1,1,Y
IDCJAC0010,83033,1957,03,23,17.2,1,Y
IDCJAC0010,83033,1957,03,24,18.9,1,Y
IDCJAC0010,83033,1957,03,25,22.8,1,Y
IDCJAC0010,83033,1957,03,26,22.2,1,Y
IDCJAC0010,83033,1957,03,27,17.8,1,Y
IDCJAC0010,83033,1957,03,28,17.2,1,Y
IDCJAC0010,83033,1957,03,29,22.2,1,Y
IDCJAC0010,83033,1957,03,30,22.8,1,Y
IDCJAC0010,83033,1957,03,31,23.3,1,Y
IDCJAC0010,83033,1957,04,01,12.2,1,Y
IDCJAC0010,83033,1957,04,02,17.8,1,Y
IDCJAC0010,83033,1957,04,03,20.0,1,Y
IDCJAC0010,83033,1957,04,04,21.7,1,Y
IDCJAC0010,83033,1957,04,05,22.8,1,Y
IDCJAC0010,83033,1957,04,06,16.7,1,Y
IDCJAC0010,83033,1957,04,07,17.8,1,Y
IDCJAC0010,83033,1957,04,08,19.4,1,Y
IDCJAC0010,83033,1957,04,09,22.2,1,Y
IDCJAC0010,83033,1957,04,10,13.9,1,Y
IDCJAC0010,83033,1957,04,11,20.0,1,Y
IDCJAC0010,83033,1957,04,12,20.0,1,Y
IDCJAC0010,83033,1957,04,13,11.7,1,Y
IDCJAC0010,83033,1957,04,14,12.8,1,Y
IDCJAC0010,83033,1957,04,15,17.2,1,Y
IDCJAC0010,83033,1957,04,16,19.4,1,Y
IDCJAC0010,83033,1957,04,17,12.2,1,Y
IDCJAC0010,83033,1957,04,18,14.4,1,Y
IDCJAC0010,83033,1957,04,19,11.1,1,Y
IDCJAC0010,83033,1957,04,20,16.1,1,Y
IDCJAC0010,83033,1957,04,21,11.7,1,Y
IDCJAC0010,83033,1957,04,22,13.9,1,Y
IDCJAC0010,83033,1957,04,23,13.3,1,Y
IDCJAC0010,83033,1957,04,24,15.6,1,Y
IDCJAC0010,83033,1957,04,25,13.9,1,Y
IDCJAC0010,83033,1957,04,26,13.3,1,Y
IDCJAC0010,83033,1957,04,27,16.1,1,Y
IDCJAC0010,83033,1957,04,28,12.2,1,Y
IDCJAC0010,83033,1957,04,29,9.4,1,Y
IDCJAC0010,83033,1957,04,30,10.6,1,Y
IDCJAC0010,83033,1957,05,01,8.3,1,Y
IDCJAC0010,83033,1957,05,02,6.1,1,Y
IDCJAC0010,83033,1957,05,03,9.4,1,Y
IDCJAC0010,83033,1957,05,04,12.2,1,Y
IDCJAC0010,83033,1957,05,05,17.8,1,Y
IDCJAC0010,83033,1957,05,06,17.2,1,Y
IDCJAC0010,83033,1957,05,07,15.6,1,Y
IDCJAC0010,83033,1957,05,08,16.1,1,Y
IDCJAC0010,83033,1957,05,09,18.3,1,Y
IDCJAC0010,83033,1957,05,10,18.3,1,Y
IDCJAC0010,83033,1957,05,11,17.8,1,Y
IDCJAC0010,83033,1957,05,12,11.7,1,Y
IDCJAC0010,83033,1957,05,13,10.6,1,Y
IDCJAC0010,83033,1957,05,14,8.9,1,Y
IDCJAC0010,83033,1957,05,15,12.8,1,Y
IDCJAC0010,83033,1957,05,16,11.1,1,Y
IDCJAC0010,83033,1957,05,17,11.7,1,Y
IDCJAC0010,83033,1957,05,18,14.4,1,Y
IDCJAC0010,83033,1957,05,19,4.4,1,Y
IDCJAC0010,83033,1957,05,20,6.7,1,Y
IDCJAC0010,83033,1957,05,21,8.3,1,Y
IDCJAC0010,83033,1957,05,22,7.2,1,Y
IDCJAC0010,83033,1957,05,23,8.3,1,Y
IDCJAC0010,83033,1957,05,24,8.3,1,Y
IDCJAC0010,83033,1957,05,25,7.2,1,Y
IDCJAC0010,83033,1957,05,26,7.2,1,Y
IDCJAC0010,83033,1957,05,27,12.8,1,Y
IDCJAC0010,83033,1957,05,28,10.6,1,Y
IDCJAC0010,83033,1957,05,29,14.4,1,Y
IDCJAC0010,83033,1957,05,30,15.0,1,Y
IDCJAC0010,83033,1957,05,31,14.4,1,Y
IDCJAC0010,83033,1957,06,01,10.6,1,Y
