Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,84027,1965,01,01,25.2,,Y
IDCJAC0010,84027,1965,01,02,21.7,1,Y
IDCJAC0010,84027,1965,01,03,22.1,1,Y
IDCJAC0010,84027,1965,01,04,21.9,1,Y
IDCJAC0010,84027,1965,01,05,20.1,1,Y
IDCJAC0010,84027,1965,01,06,18.2,1,Y
IDCJAC0010,84027,1965,01,07,19.4,1,Y
IDCJAC0010,84027,1965,01,08,23.0,1,Y
IDCJAC0010,84027,1965,01,09,25.3,1,Y
IDCJAC0010,84027,1965,01,10,25.7,1,Y
IDCJAC0010,84027,1965,01,11,19.4,1,Y
IDCJAC0010,84027,1965,01,12,17.3,1,Y
IDCJAC0010,84027,1965,01,13,18.2,1,Y
IDCJAC0010,84027,1965,01,14,19.9,1,Y
IDCJAC0010,84027,1965,01,15,30.4,1,Y
IDCJAC0010,84027,1965,01,16,36.5,1,Y
IDCJAC0010,84027,1965,01,17,37.3,1,Y
IDCJAC0010,84027,1965,01,18,21.1,1,Y
IDCJAC0010,84027,1965,01,19,18.5,1,Y
IDCJAC0010,84027,1965,01,20,15.7,1,Y
IDCJAC0010,84027,1965,01,21,20.0,1,Y
IDCJAC0010,84027,1965,01,22,19.4,1,Y
IDCJAC0010,84027,1965,01,23,27.2,1,Y
IDCJAC0010,84027,1965,01,24,21.8,1,Y
IDCJAC0010,84027,1965,01,25,18.9,1,Y
IDCJAC0010,84027,1965,01,26,17.8,1,Y
IDCJAC0010,84027,1965,01,27,19.6,1,Y
IDCJAC0010,84027,1965,01,28,21.1,1,Y
IDCJAC0010,84027,1965,01,29,28.4,1,Y
IDCJAC0010,84027,1965,01,30,22.2,1,Y
IDCJAC0010,84027,1965,01,31,,,
IDCJAC0010,84027,1965,02,01,25.2,,Y
IDCJAC0010,84027,1965,02,02,31.4,1,Y
IDCJAC0010,84027,1965,02,03,35.6,1,Y
IDCJAC0010,84027,1965,02,04,21.1,1,Y
IDCJAC0010,84027,1965,02,05,25.6,1,Y
IDCJAC0010,84027,1965,02,06,,,
IDCJAC0010,84027,1965,02,07,30.2,1,Y
IDCJAC0010,84027,1965,02,08,32.3,1,Y
IDCJAC0010,84027,1965,02,09,22.8,1,Y
IDCJAC0010,84027,1965,02,10,20.8,1,Y
IDCJAC0010,84027,1965,02,11,17.7,1,Y
IDCJAC0010,84027,1965,02,12,20.0,1,Y
IDCJAC0010,84027,1965,02,13,27.2,1,Y
IDCJAC0010,84027,1965,02,14,30.8,1,Y
IDCJAC0010,84027,1965,02,15,34.8,1,Y
IDCJAC0010,84027,1965,02,16,36.4,1,Y
IDCJAC0010,84027,1965,02,17,22.7,1,Y
IDCJAC0010,84027,1965,02,18,30.3,1,Y
IDCJAC0010,84027,1965,02,19,30.3,1,Y
IDCJAC0010,84027,1965,02,20,30.1,1,Y
IDCJAC0010,84027,1965,02,21,37.5,1,Y
IDCJAC0010,84027,1965,02,22,28.3,1,Y
IDCJAC0010,84027,1965,02,23,22.4,1,Y
IDCJAC0010,84027,1965,02,24,24.5,1,Y
IDCJAC0010,84027,1965,02,25,18.4,1,Y
IDCJAC0010,84027,1965,02,26,20.3,1,Y
IDCJAC0010,84027,1965,02,27,,,
IDCJAC0010,84027,1965,02,28,28.9,1,Y
IDCJAC0010,84027,1965,03,01,30.1,1,Y
IDCJAC0010,84027,1965,03,02,34.9,1,Y
IDCJAC0010,84027,1965,03,03,39.6,1,Y
IDCJAC0010,84027,1965,03,04,20.0,1,Y
IDCJAC0010,84027,1965,03,05,38.5,1,Y
IDCJAC0010,84027,1965,03,06,,,
IDCJAC0010,84027,1965,03,07,38.3,1,Y
IDCJAC0010,84027,1965,03,08,28.9,1,Y
IDCJAC0010,84027,1965,03,09,20.6,1,Y
IDCJAC0010,84027,1965,03,10,26.1,1,Y
IDCJAC0010,84027,1965,03,11,32.2,1,Y
IDCJAC0010,84027,1965,03,12,23.3,1,Y
IDCJAC0010,84027,1965,03,13,,,
IDCJAC0010,84027,1965,03,14,23.6,1,Y
IDCJAC0010,84027,1965,03,15,21.7,1,Y
IDCJAC0010,84027,1965,03,16,26.1,1,Y
IDCJAC0010,84027,1965,03,17,33.3,1,Y
IDCJAC0010,84027,1965,03,18,33.2,1,Y
IDCJAC0010,84027,1965,03,19,21.4,1,Y
IDCJAC0010,84027,1965,03,20,19.6,1,Y
IDCJAC0010,84027,1965,03,21,15.0,1,Y
IDCJAC0010,84027,1965,03,22,17.0,1,Y
IDCJAC0010,84027,1965,03,23,19.7,1,Y
IDCJAC0010,84027,1965,03,24,17.9,1,Y
IDCJAC0010,84027,1965,03,25,18.8,1,Y
IDCJAC0010,84027,1965,03,26,,,
IDCJAC0010,84027,1965,03,27,,,
IDCJAC0010,84027,1965,03,28,31.7,1,Y
IDCJAC0010,84027,1965,03,29,18.4,1,Y
IDCJAC0010,84027,1965,03,30,20.6,1,Y
IDCJAC0010,84027,1965,03,31,20.4,1,Y
IDCJAC0010,84027,1965,04,01,21.1,1,Y
IDCJAC0010,84027,1965,04,02,17.3,1,Y
IDCJAC0010,84027,1965,04,03,,,
IDCJAC0010,84027,1965,04,04,27.8,1,Y
IDCJAC0010,84027,1965,04,05,16.1,1,Y
IDCJAC0010,84027,1965,04,06,,,
IDCJAC0010,84027,1965,04,07,,,
IDCJAC0010,84027,1965,04,08,,,
IDCJAC0010,84027,1965,04,09,,,
IDCJAC0010,84027,1965,04,10,,,
IDCJAC0010,84027,1965,04,11,24.3,1,Y
IDCJAC0010,84027,1965,04,12,20.7,1,Y
IDCJAC0010,84027,1965,04,13,15.4,1,Y
IDCJAC0010,84027,1965,04,14,18.4,1,Y
IDCJAC0010,84027,1965,04,15,,,
IDCJAC0010,84027,1965,04,16,,,
IDCJAC0010,84027,1965,04,17,,,
IDCJAC0010,84027,1965,04,18,,,
IDCJAC0010,84027,1965,04,19,,,
IDCJAC0010,84027,1965,04,20,25.6,1,Y
IDCJAC0010,84027,1965,04,21,21.1,1,Y
IDCJAC0010,84027,1965,04,22,16.7,1,Y
IDCJAC0010,84027,1965,04,23,15.6,1,Y
IDCJAC0010,84027,1965,04,24,,,
IDCJAC0010,84027,1965,04,25,17.8,1,Y
IDCJAC0010,84027,1965,04,26,17.2,1,Y
IDCJAC0010,84027,1965,04,27,14.4,1,Y
IDCJAC0010,84027,1965,04,28,14.4,1,Y
IDCJAC0010,84027,1965,04,29,18.3,1,Y
IDCJAC0010,84027,1965,04,30,15.6,1,Y
IDCJAC0010,84027,1965,05,01,,,
IDCJAC0010,84027,1965,05,02,19.4,1,Y
IDCJAC0010,84027,1965,05,03,23.3,1,Y
IDCJAC0010,84027,1965,05,04,23.9,1,Y
IDCJAC0010,84027,1965,05,05,17.8,1,Y
IDCJAC0010,84027,1965,05,06,16.2,1,Y
IDCJAC0010,84027,1965,05,07,20.3,1,Y
IDCJAC0010,84027,1965,05,08,,,
IDCJAC0010,84027,1965,05,09,24.4,1,Y
IDCJAC0010,84027,1965,05,10,23.9,1,Y
IDCJAC0010,84027,1965,05,11,23.3,1,Y
IDCJAC0010,84027,1965,05,12,19.4,1,Y
IDCJAC0010,84027,1965,05,13,15.6,1,Y
IDCJAC0010,84027,1965,05,14,18.3,1,Y
IDCJAC0010,84027,1965,05,15,,,
IDCJAC0010,84027,1965,05,16,18.9,1,Y
IDCJAC0010,84027,1965,05,17,16.1,1,Y
IDCJAC0010,84027,1965,05,18,17.2,1,Y
IDCJAC0010,84027,1965,05,19,13.9,1,Y
IDCJAC0010,84027,1965,05,20,15.6,1,Y
IDCJAC0010,84027,1965,05,21,16.3,1,Y
IDCJAC0010,84027,1965,05,22,,,
IDCJAC0010,84027,1965,05,23,,,
IDCJAC0010,84027,1965,05,24,15.6,,Y
IDCJAC0010,84027,1965,05,25,20.6,1,Y
IDCJAC0010,84027,1965,05,26,16.1,1,Y
IDCJAC0010,84027,1965,05,27,16.7,1,Y
IDCJAC0010,84027,1965,05,28,15.0,1,Y
IDCJAC0010,84027,1965,05,29,,,
IDCJAC0010,84027,1965,05,30,15.0,1,Y
IDCJAC0010,84027,1965,05,31,12.2,1,Y
IDCJAC0010,84027,1965,06,01,19.4,1,Y
IDCJAC0010,84027,1965,06,02,18.9,1,Y
IDCJAC0010,84027,1965,06,03,16.7,1,Y
IDCJAC0010,84027,1965,06,04,,,
IDCJAC0010,84027,1965,06,05,,,
IDCJAC0010,84027,1965,06,06,20.1,1,Y
IDCJAC0010,84027,1965,06,07,24.0,1,Y
IDCJAC0010,84027,1965,06,08,17.2,1,Y
IDCJAC0010,84027,1965,06,09,11.1,1,Y
IDCJAC0010,84027,1965,06,10,15.1,1,Y
IDCJAC0010,84027,1965,06,11,,,
IDCJAC0010,84027,1965,06,12,,,
IDCJAC0010,84027,1965,06,13,,,
IDCJAC0010,84027,1965,06,14,16.8,1,Y
IDCJAC0010,84027,1965,06,15,18.3,1,Y
IDCJAC0010,84027,1965,06,16,18.4,1,Y
IDCJAC0010,84027,1965,06,17,20.6,1,Y
IDCJAC0010,84027,1965,06,18,,,
IDCJAC0010,84027,1965,06,19,,,
IDCJAC0010,84027,1965,06,20,15.8,1,Y
IDCJAC0010,84027,1965,06,21,14.6,1,Y
IDCJAC0010,84027,1965,06,22,8.3,1,Y
IDCJAC0010,84027,1965,06,23,8.4,1,Y
IDCJAC0010,84027,1965,06,24,11.1,1,Y
IDCJAC0010,84027,1965,06,25,,,
IDCJAC0010,84027,1965,06,26,,,
IDCJAC0010,84027,1965,06,27,12.8,1,Y
IDCJAC0010,84027,1965,06,28,14.4,1,Y
IDCJAC0010,84027,1965,06,29,14.6,1,Y
IDCJAC0010,84027,1965,06,30,16.1,1,Y
IDCJAC0010,84027,1965,07,01,18.3,1,Y
IDCJAC0010,84027,1965,07,02,,,
IDCJAC0010,84027,1965,07,03,,,
IDCJAC0010,84027,1965,07,04,19.4,1,Y
IDCJAC0010,84027,1965,07,05,15.0,1,Y
IDCJAC0010,84027,1965,07,06,15.6,1,Y
IDCJAC0010,84027,1965,07,07,12.8,1,Y
IDCJAC0010,84027,1965,07,08,10.0,1,Y
IDCJAC0010,84027,1965,07,09,,,
IDCJAC0010,84027,1965,07,10,,,
IDCJAC0010,84027,1965,07,11,13.3,1,Y
IDCJAC0010,84027,1965,07,12,12.8,1,Y
IDCJAC0010,84027,1965,07,13,10.0,1,Y
IDCJAC0010,84027,1965,07,14,10.0,1,Y
IDCJAC0010,84027,1965,07,15,13.3,1,Y
IDCJAC0010,84027,1965,07,16,16.7,1,Y
IDCJAC0010,84027,1965,07,17,,,
IDCJAC0010,84027,1965,07,18,16.3,1,Y
IDCJAC0010,84027,1965,07,19,15.7,1,Y
IDCJAC0010,84027,1965,07,20,16.8,1,Y
IDCJAC0010,84027,1965,07,21,13.9,1,Y
IDCJAC0010,84027,1965,07,22,13.0,1,Y
IDCJAC0010,84027,1965,07,23,,,
IDCJAC0010,84027,1965,07,24,,,
IDCJAC0010,84027,1965,07,25,12.8,1,Y
IDCJAC0010,84027,1965,07,26,16.1,1,Y
IDCJAC0010,84027,1965,07,27,15.6,1,Y
IDCJAC0010,84027,1965,07,28,15.3,1,Y
IDCJAC0010,84027,1965,07,29,11.1,1,Y
IDCJAC0010,84027,1965,07,30,,,
IDCJAC0010,84027,1965,07,31,,,
IDCJAC0010,84027,1965,08,01,16.7,1,Y
IDCJAC0010,84027,1965,08,02,17.2,1,Y
IDCJAC0010,84027,1965,08,03,18.9,1,Y
IDCJAC0010,84027,1965,08,04,16.7,1,Y
IDCJAC0010,84027,1965,08,05,12.8,1,Y
IDCJAC0010,84027,1965,08,06,12.2,1,Y
IDCJAC0010,84027,1965,08,07,12.8,1,Y
IDCJAC0010,84027,1965,08,08,10.0,1,Y
IDCJAC0010,84027,1965,08,09,10.7,1,Y
IDCJAC0010,84027,1965,08,10,12.6,1,Y
IDCJAC0010,84027,1965,08,11,,,
IDCJAC0010,84027,1965,08,12,,,
IDCJAC0010,84027,1965,08,13,,,
IDCJAC0010,84027,1965,08,14,,,
IDCJAC0010,84027,1965,08,15,20.0,1,Y
IDCJAC0010,84027,1965,08,16,16.7,1,Y
IDCJAC0010,84027,1965,08,17,13.4,1,Y
IDCJAC0010,84027,1965,08,18,14.0,1,Y
IDCJAC0010,84027,1965,08,19,14.6,1,Y
IDCJAC0010,84027,1965,08,20,,,
IDCJAC0010,84027,1965,08,21,,,
IDCJAC0010,84027,1965,08,22,15.0,1,Y
IDCJAC0010,84027,1965,08,23,13.3,1,Y
IDCJAC0010,84027,1965,08,24,17.3,1,Y
IDCJAC0010,84027,1965,08,25,17.3,1,Y
IDCJAC0010,84027,1965,08,26,17.5,1,Y
IDCJAC0010,84027,1965,08,27,,,
IDCJAC0010,84027,1965,08,28,,,
IDCJAC0010,84027,1965,08,29,22.2,1,Y
IDCJAC0010,84027,1965,08,30,21.1,1,Y
IDCJAC0010,84027,1965,08,31,21.7,1,Y
IDCJAC0010,84027,1965,09,01,23.9,1,Y
IDCJAC0010,84027,1965,09,02,14.0,1,Y
IDCJAC0010,84027,1965,09,03,,,
IDCJAC0010,84027,1965,09,04,,,
IDCJAC0010,84027,1965,09,05,22.8,1,Y
IDCJAC0010,84027,1965,09,06,15.8,1,Y
IDCJAC0010,84027,1965,09,07,,,
IDCJAC0010,84027,1965,09,08,18.1,1,Y
IDCJAC0010,84027,1965,09,09,12.6,1,Y
IDCJAC0010,84027,1965,09,10,,,
IDCJAC0010,84027,1965,09,11,,,
IDCJAC0010,84027,1965,09,12,20.0,1,Y
IDCJAC0010,84027,1965,09,13,12.8,1,Y
IDCJAC0010,84027,1965,09,14,15.0,1,Y
IDCJAC0010,84027,1965,09,15,18.3,1,Y
IDCJAC0010,84027,1965,09,16,17.2,1,Y
IDCJAC0010,84027,1965,09,17,,,
IDCJAC0010,84027,1965,09,18,,,
IDCJAC0010,84027,1965,09,19,19.4,1,Y
IDCJAC0010,84027,1965,09,20,22.2,1,Y
IDCJAC0010,84027,1965,09,21,25.0,1,Y
IDCJAC0010,84027,1965,09,22,19.4,1,Y
IDCJAC0010,84027,1965,09,23,21.2,1,Y
