Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,82001,1957,01,01,27.2,,Y
IDCJAC0010,82001,1957,01,02,30.3,1,Y
IDCJAC0010,82001,1957,01,03,33.9,1,Y
IDCJAC0010,82001,1957,01,04,29.6,1,Y
IDCJAC0010,82001,1957,01,05,29.6,1,Y
IDCJAC0010,82001,1957,01,06,28.6,1,Y
IDCJAC0010,82001,1957,01,07,23.5,1,Y
IDCJAC0010,82001,1957,01,08,22.4,1,Y
IDCJAC0010,82001,1957,01,09,25.2,1,Y
IDCJAC0010,82001,1957,01,10,24.6,1,Y
IDCJAC0010,82001,1957,01,11,27.8,1,Y
IDCJAC0010,82001,1957,01,12,31.2,1,Y
IDCJAC0010,82001,1957,01,13,35.1,1,Y
IDCJAC0010,82001,1957,01,14,30.1,1,Y
IDCJAC0010,82001,1957,01,15,32.1,1,Y
IDCJAC0010,82001,1957,01,16,28.0,1,Y
IDCJAC0010,82001,1957,01,17,26.6,1,Y
IDCJAC0010,82001,1957,01,18,29.6,1,Y
IDCJAC0010,82001,1957,01,19,23.1,1,Y
IDCJAC0010,82001,1957,01,20,26.3,1,Y
IDCJAC0010,82001,1957,01,21,26.6,1,Y
IDCJAC0010,82001,1957,01,22,26.6,1,Y
IDCJAC0010,82001,1957,01,23,30.7,1,Y
IDCJAC0010,82001,1957,01,24,24.6,1,Y
IDCJAC0010,82001,1957,01,25,22.8,1,Y
IDCJAC0010,82001,1957,01,26,20.2,1,Y
IDCJAC0010,82001,1957,01,27,24.6,1,Y
IDCJAC0010,82001,1957,01,28,27.6,1,Y
IDCJAC0010,82001,1957,01,29,29.4,1,Y
IDCJAC0010,82001,1957,01,30,32.3,1,Y
IDCJAC0010,82001,1957,01,31,33.8,1,Y
IDCJAC0010,82001,1957,02,01,32.8,1,Y
IDCJAC0010,82001,1957,02,02,26.0,1,Y
IDCJAC0010,82001,1957,02,03,27.3,1,Y
IDCJAC0010,82001,1957,02,04,28.3,1,Y
IDCJAC0010,82001,1957,02,05,27.4,1,Y
IDCJAC0010,82001,1957,02,06,28.3,1,Y
IDCJAC0010,82001,1957,02,07,28.3,1,Y
IDCJAC0010,82001,1957,02,08,26.2,1,Y
IDCJAC0010,82001,1957,02,09,28.4,1,Y
IDCJAC0010,82001,1957,02,10,26.5,1,Y
IDCJAC0010,82001,1957,02,11,24.0,1,Y
IDCJAC0010,82001,1957,02,12,27.3,1,Y
IDCJAC0010,82001,1957,02,13,28.4,1,Y
IDCJAC0010,82001,1957,02,14,30.4,1,Y
IDCJAC0010,82001,1957,02,15,26.3,1,Y
IDCJAC0010,82001,1957,02,16,25.1,1,Y
IDCJAC0010,82001,1957,02,17,27.6,1,Y
IDCJAC0010,82001,1957,02,18,30.7,1,Y
IDCJAC0010,82001,1957,02,19,31.7,1,Y
IDCJAC0010,82001,1957,02,20,31.7,1,Y
IDCJAC0010,82001,1957,02,21,26.8,1,Y
IDCJAC0010,82001,1957,02,22,26.3,1,Y
IDCJAC0010,82001,1957,02,23,26.2,1,Y
IDCJAC0010,82001,1957,02,24,27.7,1,Y
