Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,87054,1957,01,01,9.4,,Y
IDCJAC0011,87054,1957,01,02,11.1,1,Y
IDCJAC0011,87054,1957,01,03,11.2,1,Y
IDCJAC0011,87054,1957,01,04,8.4,1,Y
IDCJAC0011,87054,1957,01,05,9.9,1,Y
IDCJAC0011,87054,1957,01,06,12.3,1,Y
IDCJAC0011,87054,1957,01,07,11.2,1,Y
IDCJAC0011,87054,1957,01,08,8.1,1,Y
IDCJAC0011,87054,1957,01,09,8.0,1,Y
IDCJAC0011,87054,1957,01,10,9.3,1,Y
IDCJAC0011,87054,1957,01,11,10.1,1,Y
IDCJAC0011,87054,1957,01,12,12.6,1,Y
IDCJAC0011,87054,1957,01,13,15.2,1,Y
IDCJAC0011,87054,1957,01,14,10.2,1,Y
IDCJAC0011,87054,1957,01,15,11.4,1,Y
IDCJAC0011,87054,1957,01,16,11.4,1,Y
IDCJAC0011,87054,1957,01,17,10.9,1,Y
IDCJAC0011,87054,1957,01,18,12.1,1,Y
IDCJAC0011,87054,1957,01,19,13.6,1,Y
IDCJAC0011,87054,1957,01,20,9.3,1,Y
IDCJAC0011,87054,1957,01,21,11.6,1,Y
IDCJAC0011,87054,1957,01,22,12.7,1,Y
IDCJAC0011,87054,1957,01,23,12.4,1,Y
IDCJAC0011,87054,1957,01,24,9.4,1,Y
IDCJAC0011,87054,1957,01,25,11.7,1,Y
IDCJAC0011,87054,1957,01,26,6.8,1,Y
IDCJAC0011,87054,1957,01,27,10.3,1,Y
IDCJAC0011,87054,1957,01,28,11.8,1,Y
IDCJAC0011,87054,1957,01,29,16.3,1,Y
IDCJAC0011,87054,1957,01,30,16.6,1,Y
IDCJAC0011,87054,1957,01,31,14.2,1,Y
IDCJAC0011,87054,1957,02,01,13.1,1,Y
IDCJAC0011,87054,1957,02,02,15.1,1,Y
IDCJAC0011,87054,1957,02,03,12.2,1,Y
IDCJAC0011,87054,1957,02,04,12.0,1,Y
IDCJAC0011,87054,1957,02,05,12.4,1,Y
IDCJAC0011,87054,1957,02,06,15.9,1,Y
IDCJAC0011,87054,1957,02,07,16.6,1,Y
IDCJAC0011,87054,1957,02,08,15.0,1,Y
IDCJAC0011,87054,1957,02,09,13.8,1,Y
IDCJAC0011,87054,1957,02,10,13.5,1,Y
IDCJAC0011,87054,1957,02,11,11.0,1,Y
IDCJAC0011,87054,1957,02,12,11.4,1,Y
IDCJAC0011,87054,1957,02,13,12.3,1,Y
IDCJAC0011,87054,1957,02,14,17.4,1,Y
IDCJAC0011,87054,1957,02,15,13.4,1,Y
IDCJAC0011,87054,1957,02,16,10.1,1,Y
IDCJAC0011,87054,1957,02,17,11.2,1,Y
IDCJAC0011,87054,1957,02,18,13.4,1,Y
IDCJAC0011,87054,1957,02,19,15.7,1,Y
IDCJAC0011,87054,1957,02,20,14.9,1,Y
IDCJAC0011,87054,1957,02,21,11.6,1,Y
IDCJAC0011,87054,1957,02,22,12.0,1,Y
IDCJAC0011,87054,1957,02,23,13.8,1,Y
IDCJAC0011,87054,1957,02,24,9.8,1,Y
IDCJAC0011,87054,1957,02,25,8.8,1,Y
IDCJAC0011,87054,1957,02,26,11.3,1,Y
IDCJAC0011,87054,1957,02,27,13.2,1,Y
IDCJAC0011,87054,1957,02,28,18.8,1,Y
IDCJAC0011,87054,1957,03,01,14.0,1,Y
IDCJAC0011,87054,1957,03,02,14.0,1,Y
IDCJAC0011,87054,1957,03,03,6.0,1,Y
IDCJAC0011,87054,1957,03,04,11.7,1,Y
IDCJAC0011,87054,1957,03,05,12.4,1,Y
IDCJAC0011,87054,1957,03,06,13.3,1,Y
IDCJAC0011,87054,1957,03,07,15.7,1,Y
IDCJAC0011,87054,1957,03,08,16.2,1,Y
IDCJAC0011,87054,1957,03,09,17.2,1,Y
IDCJAC0011,87054,1957,03,10,10.3,1,Y
IDCJAC0011,87054,1957,03,11,9.4,1,Y
IDCJAC0011,87054,1957,03,12,12.6,1,Y
IDCJAC0011,87054,1957,03,13,14.4,1,Y
IDCJAC0011,87054,1957,03,14,7.6,1,Y
IDCJAC0011,87054,1957,03,15,10.1,1,Y
IDCJAC0011,87054,1957,03,16,9.2,1,Y
IDCJAC0011,87054,1957,03,17,10.2,1,Y
