Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,84080,1957,01,01,7.8,,Y
IDCJAC0011,84080,1957,01,02,6.3,1,Y
IDCJAC0011,84080,1957,01,03,15.1,1,Y
IDCJAC0011,84080,1957,01,04,9.1,1,Y
IDCJAC0011,84080,1957,01,05,14.6,1,Y
IDCJAC0011,84080,1957,01,06,10.2,1,Y
IDCJAC0011,84080,1957,01,07,10.8,1,Y
IDCJAC0011,84080,1957,01,08,6.7,1,Y
IDCJAC0011,84080,1957,01,09,,1,
IDCJAC0011,84080,1957,01,10,11.2,,Y
IDCJAC0011,84080,1957,01,11,8.1,1,Y
IDCJAC0011,84080,1957,01,12,10.0,1,Y
IDCJAC0011,84080,1957,01,13,15.1,1,Y
IDCJAC0011,84080,1957,01,14,10.3,1,Y
IDCJAC0011,84080,1957,01,15,9.4,1,Y
IDCJAC0011,84080,1957,01,16,10.3,1,Y
IDCJAC0011,84080,1957,01,17,4.7,1,Y
IDCJAC0011,84080,1957,01,18,7.0,1,Y
IDCJAC0011,84080,1957,01,19,14.6,1,Y
IDCJAC0011,84080,1957,01,20,6.7,1,Y
IDCJAC0011,84080,1957,01,21,7.0,1,Y
IDCJAC0011,84080,1957,01,22,13.9,1,Y
IDCJAC0011,84080,1957,01,23,10.2,1,Y
IDCJAC0011,84080,1957,01,24,14.2,1,Y
IDCJAC0011,84080,1957,01,25,9.2,1,Y
IDCJAC0011,84080,1957,01,26,8.3,1,Y
IDCJAC0011,84080,1957,01,27,5.3,1,Y
IDCJAC0011,84080,1957,01,28,5.7,1,Y
IDCJAC0011,84080,1957,01,29,8.1,1,Y
IDCJAC0011,84080,1957,01,30,11.2,1,Y
IDCJAC0011,84080,1957,01,31,15.4,1,Y
IDCJAC0011,84080,1957,02,01,16.7,1,Y
IDCJAC0011,84080,1957,02,02,16.2,1,Y
IDCJAC0011,84080,1957,02,03,12.3,1,Y
IDCJAC0011,84080,1957,02,04,13.3,1,Y
IDCJAC0011,84080,1957,02,05,7.8,1,Y
IDCJAC0011,84080,1957,02,06,14.0,1,Y
IDCJAC0011,84080,1957,02,07,18.7,1,Y
IDCJAC0011,84080,1957,02,08,15.6,1,Y
IDCJAC0011,84080,1957,02,09,17.0,1,Y
IDCJAC0011,84080,1957,02,10,12.2,1,Y
IDCJAC0011,84080,1957,02,11,11.8,1,Y
IDCJAC0011,84080,1957,02,12,9.0,1,Y
IDCJAC0011,84080,1957,02,13,9.4,1,Y
IDCJAC0011,84080,1957,02,14,,,
IDCJAC0011,84080,1957,02,15,15.8,,Y
IDCJAC0011,84080,1957,02,16,6.9,1,Y
IDCJAC0011,84080,1957,02,17,5.3,1,Y
IDCJAC0011,84080,1957,02,18,15.1,1,Y
IDCJAC0011,84080,1957,02,19,10.0,1,Y
IDCJAC0011,84080,1957,02,20,15.0,1,Y
IDCJAC0011,84080,1957,02,21,12.8,1,Y
IDCJAC0011,84080,1957,02,22,13.3,1,Y
IDCJAC0011,84080,1957,02,23,9.9,1,Y
IDCJAC0011,84080,1957,02,24,12.0,1,Y
IDCJAC0011,84080,1957,02,25,12.8,1,Y
IDCJAC0011,84080,1957,02,26,6.3,1,Y
IDCJAC0011,84080,1957,02,27,7.8,1,Y
IDCJAC0011,84080,1957,02,28,12.2,1,Y
IDCJAC0011,84080,1957,03,01,15.6,1,Y
IDCJAC0011,84080,1957,03,02,15.6,1,Y
IDCJAC0011,84080,1957,03,03,12.6,1,Y
IDCJAC0011,84080,1957,03,04,12.8,1,Y
IDCJAC0011,84080,1957,03,05,11.1,1,Y
IDCJAC0011,84080,1957,03,06,10.0,1,Y
IDCJAC0011,84080,1957,03,07,11.1,1,Y
IDCJAC0011,84080,1957,03,08,11.3,1,Y
IDCJAC0011,84080,1957,03,09,12.8,1,Y
IDCJAC0011,84080,1957,03,10,13.9,1,Y
IDCJAC0011,84080,1957,03,11,9.7,1,Y
IDCJAC0011,84080,1957,03,12,8.9,1,Y
IDCJAC0011,84080,1957,03,13,9.2,1,Y
IDCJAC0011,84080,1957,03,14,10.6,1,Y
IDCJAC0011,84080,1957,03,15,8.9,1,Y
IDCJAC0011,84080,1957,03,16,10.2,1,Y
IDCJAC0011,84080,1957,03,17,8.3,1,Y
IDCJAC0011,84080,1957,03,18,10.6,1,Y
IDCJAC0011,84080,1957,03,19,14.3,1,Y
IDCJAC0011,84080,1957,03,20,9.7,1,Y
IDCJAC0011,84080,1957,03,21,7.4,1,Y
IDCJAC0011,84080,1957,03,22,11.3,1,Y
IDCJAC0011,84080,1957,03,23,12.2,1,Y
IDCJAC0011,84080,1957,03,24,11.2,1,Y
IDCJAC0011,84080,1957,03,25,5.3,1,Y
IDCJAC0011,84080,1957,03,26,5.2,1,Y
IDCJAC0011,84080,1957,03,27,10.6,1,Y
IDCJAC0011,84080,1957,03,28,10.7,1,Y
IDCJAC0011,84080,1957,03,29,8.4,1,Y
IDCJAC0011,84080,1957,03,30,8.9,1,Y
IDCJAC0011,84080,1957,03,31,8.9,1,Y
IDCJAC0011,84080,1957,04,01,12.2,1,Y
IDCJAC0011,84080,1957,04,02,10.0,1,Y
IDCJAC0011,84080,1957,04,03,8.7,1,Y
IDCJAC0011,84080,1957,04,04,7.8,1,Y
IDCJAC0011,84080,1957,04,05,5.8,1,Y
IDCJAC0011,84080,1957,04,06,11.4,1,Y
IDCJAC0011,84080,1957,04,07,8.3,1,Y
IDCJAC0011,84080,1957,04,08,3.0,1,Y
IDCJAC0011,84080,1957,04,09,5.6,1,Y
IDCJAC0011,84080,1957,04,10,13.2,1,Y
IDCJAC0011,84080,1957,04,11,6.3,1,Y
IDCJAC0011,84080,1957,04,12,2.9,1,Y
IDCJAC0011,84080,1957,04,13,8.4,1,Y
IDCJAC0011,84080,1957,04,14,6.1,1,Y
IDCJAC0011,84080,1957,04,15,0.0,1,Y
IDCJAC0011,84080,1957,04,16,5.8,1,Y
IDCJAC0011,84080,1957,04,17,10.2,1,Y
IDCJAC0011,84080,1957,04,18,9.4,1,Y
IDCJAC0011,84080,1957,04,19,8.3,1,Y
IDCJAC0011,84080,1957,04,20,7.4,1,Y
IDCJAC0011,84080,1957,04,21,9.8,1,Y
IDCJAC0011,84080,1957,04,22,5.9,1,Y
IDCJAC0011,84080,1957,04,23,6.0,1,Y
IDCJAC0011,84080,1957,04,24,7.4,1,Y
IDCJAC0011,84080,1957,04,25,11.1,1,Y
IDCJAC0011,84080,1957,04,26,5.1,1,Y
IDCJAC0011,84080,1957,04,27,7.0,1,Y
IDCJAC0011,84080,1957,04,28,11.9,1,Y
IDCJAC0011,84080,1957,04,29,7.6,1,Y
IDCJAC0011,84080,1957,04,30,8.2,1,Y
IDCJAC0011,84080,1957,05,01,8.9,1,Y
