Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,87032,1965,01,01,,,
IDCJAC0011,87032,1965,01,02,,,
IDCJAC0011,87032,1965,01,03,,,
IDCJAC0011,87032,1965,01,04,5.6,1,Y
IDCJAC0011,87032,1965,01,05,13.9,1,Y
IDCJAC0011,87032,1965,01,06,13.3,1,Y
IDCJAC0011,87032,1965,01,07,12.2,1,Y
IDCJAC0011,87032,1965,01,08,7.8,1,Y
IDCJAC0011,87032,1965,01,09,,,
IDCJAC0011,87032,1965,01,10,,,
IDCJAC0011,87032,1965,01,11,9.4,1,Y
IDCJAC0011,87032,1965,01,12,11.1,1,Y
IDCJAC0011,87032,1965,01,13,11.7,1,Y
IDCJAC0011,87032,1965,01,14,10.6,1,Y
IDCJAC0011,87032,1965,01,15,8.3,1,Y
IDCJAC0011,87032,1965,01,16,,,
IDCJAC0011,87032,1965,01,17,,,
IDCJAC0011,87032,1965,01,18,13.9,1,Y
IDCJAC0011,87032,1965,01,19,15.0,1,Y
IDCJAC0011,87032,1965,01,20,7.2,1,Y
IDCJAC0011,87032,1965,01,21,6.7,1,Y
IDCJAC0011,87032,1965,01,22,12.2,1,Y
IDCJAC0011,87032,1965,01,23,,,
IDCJAC0011,87032,1965,01,24,,,
IDCJAC0011,87032,1965,01,25,8.9,,Y
IDCJAC0011,87032,1965,01,26,12.2,1,Y
IDCJAC0011,87032,1965,01,27,13.3,1,Y
IDCJAC0011,87032,1965,01,28,6.1,1,Y
IDCJAC0011,87032,1965,01,29,11.7,1,Y
IDCJAC0011,87032,1965,01,30,,,
IDCJAC0011,87032,1965,01,31,,,
IDCJAC0011,87032,1965,02,01,,,
IDCJAC0011,87032,1965,02,02,11.7,1,Y
IDCJAC0011,87032,1965,02,03,18.9,1,Y
IDCJAC0011,87032,1965,02,04,12.2,1,Y
IDCJAC0011,87032,1965,02,05,13.9,1,Y
IDCJAC0011,87032,1965,02,06,,,
IDCJAC0011,87032,1965,02,07,,,
IDCJAC0011,87032,1965,02,08,10.6,1,Y
IDCJAC0011,87032,1965,02,09,15.0,1,Y
IDCJAC0011,87032,1965,02,10,12.2,1,Y
IDCJAC0011,87032,1965,02,11,11.1,1,Y
IDCJAC0011,87032,1965,02,12,9.4,1,Y
IDCJAC0011,87032,1965,02,13,,,
IDCJAC0011,87032,1965,02,14,,,
IDCJAC0011,87032,1965,02,15,11.7,1,Y
IDCJAC0011,87032,1965,02,16,16.1,1,Y
IDCJAC0011,87032,1965,02,17,13.9,1,Y
IDCJAC0011,87032,1965,02,18,13.3,1,Y
IDCJAC0011,87032,1965,02,19,16.1,1,Y
IDCJAC0011,87032,1965,02,20,,,
IDCJAC0011,87032,1965,02,21,,,
IDCJAC0011,87032,1965,02,22,14.4,1,Y
IDCJAC0011,87032,1965,02,23,7.2,1,Y
IDCJAC0011,87032,1965,02,24,12.2,1,Y
IDCJAC0011,87032,1965,02,25,13.9,1,Y
IDCJAC0011,87032,1965,02,26,11.1,1,Y
IDCJAC0011,87032,1965,02,27,,,
IDCJAC0011,87032,1965,02,28,,,
IDCJAC0011,87032,1965,03,01,11.1,1,Y
IDCJAC0011,87032,1965,03,02,12.2,1,Y
IDCJAC0011,87032,1965,03,03,15.0,1,Y
IDCJAC0011,87032,1965,03,04,14.4,1,Y
IDCJAC0011,87032,1965,03,05,9.4,1,Y
IDCJAC0011,87032,1965,03,06,,,
IDCJAC0011,87032,1965,03,07,,,
IDCJAC0011,87032,1965,03,08,,,
IDCJAC0011,87032,1965,03,09,7.8,1,Y
IDCJAC0011,87032,1965,03,10,6.7,1,Y
IDCJAC0011,87032,1965,03,11,12.2,1,Y
IDCJAC0011,87032,1965,03,12,12.2,1,Y
IDCJAC0011,87032,1965,03,13,,,
IDCJAC0011,87032,1965,03,14,,,
IDCJAC0011,87032,1965,03,15,8.3,1,Y
IDCJAC0011,87032,1965,03,16,11.1,1,Y
IDCJAC0011,87032,1965,03,17,11.7,1,Y
IDCJAC0011,87032,1965,03,18,16.7,1,Y
IDCJAC0011,87032,1965,03,19,13.3,1,Y
IDCJAC0011,87032,1965,03,20,,,
IDCJAC0011,87032,1965,03,21,,,
IDCJAC0011,87032,1965,03,22,7.2,1,Y
IDCJAC0011,87032,1965,03,23,12.2,1,Y
IDCJAC0011,87032,1965,03,24,10.6,1,Y
IDCJAC0011,87032,1965,03,25,8.9,1,Y
IDCJAC0011,87032,1965,03,26,10.0,1,Y
IDCJAC0011,87032,1965,03,27,,,
IDCJAC0011,87032,1965,03,28,,,
IDCJAC0011,87032,1965,03,29,10.0,1,Y
IDCJAC0011,87032,1965,03,30,4.4,1,Y
IDCJAC0011,87032,1965,03,31,5.6,1,Y
IDCJAC0011,87032,1965,04,01,10.0,1,Y
IDCJAC0011,87032,1965,04,02,7.8,1,Y
IDCJAC0011,87032,1965,04,03,,,
IDCJAC0011,87032,1965,04,04,,,
IDCJAC0011,87032,1965,04,05,3.9,1,Y
IDCJAC0011,87032,1965,04,06,8.9,1,Y
IDCJAC0011,87032,1965,04,07,11.7,1,Y
IDCJAC0011,87032,1965,04,08,6.1,1,Y
IDCJAC0011,87032,1965,04,09,11.7,1,Y
IDCJAC0011,87032,1965,04,10,,,
IDCJAC0011,87032,1965,04,11,,,
IDCJAC0011,87032,1965,04,12,11.1,1,Y
IDCJAC0011,87032,1965,04,13,4.4,1,Y
IDCJAC0011,87032,1965,04,14,5.0,1,Y
IDCJAC0011,87032,1965,04,15,5.6,1,Y
IDCJAC0011,87032,1965,04,16,,,
IDCJAC0011,87032,1965,04,17,,,
IDCJAC0011,87032,1965,04,18,,,
IDCJAC0011,87032,1965,04,19,,,
IDCJAC0011,87032,1965,04,20,6.1,1,Y
IDCJAC0011,87032,1965,04,21,10.0,1,Y
IDCJAC0011,87032,1965,04,22,9.4,1,Y
IDCJAC0011,87032,1965,04,23,11.7,1,Y
IDCJAC0011,87032,1965,04,24,,,
IDCJAC0011,87032,1965,04,25,,,
