Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,81044,1965,01,01,,,
IDCJAC0011,81044,1965,01,02,,,
IDCJAC0011,81044,1965,01,03,,,
IDCJAC0011,81044,1965,01,04,,,
IDCJAC0011,81044,1965,01,05,12.1,1,Y
IDCJAC0011,81044,1965,01,06,13.3,1,Y
IDCJAC0011,81044,1965,01,07,9.1,1,Y
IDCJAC0011,81044,1965,01,08,14.3,1,Y
IDCJAC0011,81044,1965,01,09,,,
IDCJAC0011,81044,1965,01,10,,,
IDCJAC0011,81044,1965,01,11,10.8,1,Y
IDCJAC0011,81044,1965,01,12,11.4,1,Y
IDCJAC0011,81044,1965,01,13,11.7,1,Y
IDCJAC0011,81044,1965,01,14,10.0,1,Y
IDCJAC0011,81044,1965,01,15,11.5,1,Y
IDCJAC0011,81044,1965,01,16,,,
IDCJAC0011,81044,1965,01,17,,,
IDCJAC0011,81044,1965,01,18,16.7,1,Y
IDCJAC0011,81044,1965,01,19,12.3,1,Y
IDCJAC0011,81044,1965,01,20,10.0,1,Y
IDCJAC0011,81044,1965,01,21,9.1,1,Y
IDCJAC0011,81044,1965,01,22,13.3,1,Y
IDCJAC0011,81044,1965,01,23,,,
IDCJAC0011,81044,1965,01,24,,,
IDCJAC0011,81044,1965,01,25,9.2,1,Y
IDCJAC0011,81044,1965,01,26,9.0,1,Y
IDCJAC0011,81044,1965,01,27,10.1,1,Y
IDCJAC0011,81044,1965,01,28,11.7,1,Y
IDCJAC0011,81044,1965,01,29,16.5,1,Y
IDCJAC0011,81044,1965,01,30,,,
IDCJAC0011,81044,1965,01,31,,,
IDCJAC0011,81044,1965,02,01,,,
IDCJAC0011,81044,1965,02,02,12.0,1,Y
IDCJAC0011,81044,1965,02,03,14.3,1,Y
IDCJAC0011,81044,1965,02,04,11.8,1,Y
IDCJAC0011,81044,1965,02,05,11.1,1,Y
IDCJAC0011,81044,1965,02,06,,,
IDCJAC0011,81044,1965,02,07,,,
IDCJAC0011,81044,1965,02,08,15.6,1,Y
IDCJAC0011,81044,1965,02,09,16.7,1,Y
