Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,89000,1962,01,01,7.8,,Y
IDCJAC0011,89000,1962,01,02,9.4,1,Y
IDCJAC0011,89000,1962,01,03,9.4,1,Y
IDCJAC0011,89000,1962,01,04,10.0,1,Y
IDCJAC0011,89000,1962,01,05,8.3,1,Y
IDCJAC0011,89000,1962,01,06,8.9,1,Y
IDCJAC0011,89000,1962,01,07,20.0,1,Y
IDCJAC0011,89000,1962,01,08,12.2,1,Y
IDCJAC0011,89000,1962,01,09,15.0,1,Y
IDCJAC0011,89000,1962,01,10,16.1,1,Y
IDCJAC0011,89000,1962,01,11,12.8,1,Y
IDCJAC0011,89000,1962,01,12,12.2,1,Y
IDCJAC0011,89000,1962,01,13,8.9,1,Y
IDCJAC0011,89000,1962,01,14,8.9,1,Y
IDCJAC0011,89000,1962,01,15,12.2,1,Y
IDCJAC0011,89000,1962,01,16,23.9,1,Y
IDCJAC0011,89000,1962,01,17,13.3,1,Y
IDCJAC0011,89000,1962,01,18,11.1,1,Y
IDCJAC0011,89000,1962,01,19,15.0,1,Y
IDCJAC0011,89000,1962,01,20,10.0,1,Y
IDCJAC0011,89000,1962,01,21,10.6,1,Y
IDCJAC0011,89000,1962,01,22,7.8,1,Y
IDCJAC0011,89000,1962,01,23,8.9,1,Y
IDCJAC0011,89000,1962,01,24,20.0,1,Y
IDCJAC0011,89000,1962,01,25,18.3,1,Y
IDCJAC0011,89000,1962,01,26,10.6,1,Y
IDCJAC0011,89000,1962,01,27,12.2,1,Y
IDCJAC0011,89000,1962,01,28,12.8,1,Y
IDCJAC0011,89000,1962,01,29,15.0,1,Y
IDCJAC0011,89000,1962,01,30,18.3,1,Y
IDCJAC0011,89000,1962,01,31,13.3,1,Y
IDCJAC0011,89000,1962,02,01,7.8,1,Y
IDCJAC0011,89000,1962,02,02,11.1,1,Y
IDCJAC0011,89000,1962,02,03,10.6,1,Y
IDCJAC0011,89000,1962,02,04,12.2,1,Y
IDCJAC0011,89000,1962,02,05,10.6,1,Y
IDCJAC0011,89000,1962,02,06,14.4,1,Y
IDCJAC0011,89000,1962,02,07,14.4,1,Y
IDCJAC0011,89000,1962,02,08,14.4,1,Y
IDCJAC0011,89000,1962,02,09,7.2,1,Y
IDCJAC0011,89000,1962,02,10,8.3,1,Y
IDCJAC0011,89000,1962,02,11,7.8,1,Y
IDCJAC0011,89000,1962,02,12,8.9,1,Y
IDCJAC0011,89000,1962,02,13,16.7,1,Y
IDCJAC0011,89000,1962,02,14,10.6,1,Y
IDCJAC0011,89000,1962,02,15,7.8,1,Y
IDCJAC0011,89000,1962,02,16,8.3,1,Y
IDCJAC0011,89000,1962,02,17,11.1,1,Y
IDCJAC0011,89000,1962,02,18,,,
IDCJAC0011,89000,1962,02,19,11.1,,Y
IDCJAC0011,89000,1962,02,20,12.8,1,Y
IDCJAC0011,89000,1962,02,21,13.3,1,Y
IDCJAC0011,89000,1962,02,22,12.2,1,Y
IDCJAC0011,89000,1962,02,23,11.7,1,Y
IDCJAC0011,89000,1962,02,24,8.3,1,Y
IDCJAC0011,89000,1962,02,25,10.0,1,Y
IDCJAC0011,89000,1962,02,26,10.0,1,Y
IDCJAC0011,89000,1962,02,27,10.6,1,Y
IDCJAC0011,89000,1962,02,28,18.9,1,Y
IDCJAC0011,89000,1962,03,01,12.2,1,Y
IDCJAC0011,89000,1962,03,02,6.1,1,Y
IDCJAC0011,89000,1962,03,03,10.0,1,Y
IDCJAC0011,89000,1962,03,04,7.2,1,Y
IDCJAC0011,89000,1962,03,05,10.0,1,Y
IDCJAC0011,89000,1962,03,06,12.2,1,Y
IDCJAC0011,89000,1962,03,07,12.8,1,Y
IDCJAC0011,89000,1962,03,08,8.9,1,Y
IDCJAC0011,89000,1962,03,09,14.4,1,Y
