Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,86224,1964,01,01,12.5,,Y
IDCJAC0011,86224,1964,01,02,12.9,1,Y
IDCJAC0011,86224,1964,01,03,14.1,1,Y
IDCJAC0011,86224,1964,01,04,8.7,1,Y
IDCJAC0011,86224,1964,01,05,,,
IDCJAC0011,86224,1964,01,06,,,
IDCJAC0011,86224,1964,01,07,,,
IDCJAC0011,86224,1964,01,08,,,
IDCJAC0011,86224,1964,01,09,,,
IDCJAC0011,86224,1964,01,10,9.7,,Y
IDCJAC0011,86224,1964,01,11,8.4,1,Y
IDCJAC0011,86224,1964,01,12,4.8,1,Y
IDCJAC0011,86224,1964,01,13,11.2,1,Y
IDCJAC0011,86224,1964,01,14,10.8,1,Y
IDCJAC0011,86224,1964,01,15,11.2,1,Y
IDCJAC0011,86224,1964,01,16,13.3,1,Y
IDCJAC0011,86224,1964,01,17,10.2,1,Y
IDCJAC0011,86224,1964,01,18,12.3,1,Y
IDCJAC0011,86224,1964,01,19,,,
IDCJAC0011,86224,1964,01,20,11.3,,Y
IDCJAC0011,86224,1964,01,21,11.3,1,Y
IDCJAC0011,86224,1964,01,22,10.6,1,Y
IDCJAC0011,86224,1964,01,23,10.1,1,Y
IDCJAC0011,86224,1964,01,24,8.9,1,Y
IDCJAC0011,86224,1964,01,25,9.5,1,Y
IDCJAC0011,86224,1964,01,26,8.4,1,Y
IDCJAC0011,86224,1964,01,27,8.1,1,Y
IDCJAC0011,86224,1964,01,28,14.1,1,Y
IDCJAC0011,86224,1964,01,29,13.8,1,Y
IDCJAC0011,86224,1964,01,30,10.1,1,Y
IDCJAC0011,86224,1964,01,31,16.0,1,Y
IDCJAC0011,86224,1964,02,01,13.9,1,Y
IDCJAC0011,86224,1964,02,02,14.1,1,Y
IDCJAC0011,86224,1964,02,03,13.4,1,Y
IDCJAC0011,86224,1964,02,04,18.4,1,Y
IDCJAC0011,86224,1964,02,05,16.6,1,Y
IDCJAC0011,86224,1964,02,06,17.3,1,Y
IDCJAC0011,86224,1964,02,07,16.1,1,Y
IDCJAC0011,86224,1964,02,08,12.6,1,Y
IDCJAC0011,86224,1964,02,09,13.6,1,Y
IDCJAC0011,86224,1964,02,10,10.6,1,Y
IDCJAC0011,86224,1964,02,11,9.3,1,Y
IDCJAC0011,86224,1964,02,12,13.1,1,Y
IDCJAC0011,86224,1964,02,13,12.6,1,Y
IDCJAC0011,86224,1964,02,14,15.7,1,Y
IDCJAC0011,86224,1964,02,15,14.0,1,Y
IDCJAC0011,86224,1964,02,16,13.5,1,Y
IDCJAC0011,86224,1964,02,17,10.3,1,Y
IDCJAC0011,86224,1964,02,18,6.2,1,Y
IDCJAC0011,86224,1964,02,19,5.8,1,Y
IDCJAC0011,86224,1964,02,20,8.7,1,Y
IDCJAC0011,86224,1964,02,21,12.4,1,Y
IDCJAC0011,86224,1964,02,22,14.6,1,Y
IDCJAC0011,86224,1964,02,23,8.6,1,Y
IDCJAC0011,86224,1964,02,24,7.2,1,Y
IDCJAC0011,86224,1964,02,25,12.8,1,Y
IDCJAC0011,86224,1964,02,26,12.1,1,Y
IDCJAC0011,86224,1964,02,27,,,
IDCJAC0011,86224,1964,02,28,8.9,,Y
IDCJAC0011,86224,1964,02,29,,,
IDCJAC0011,86224,1964,03,01,12.3,,Y
IDCJAC0011,86224,1964,03,02,7.4,1,Y
IDCJAC0011,86224,1964,03,03,7.3,1,Y
IDCJAC0011,86224,1964,03,04,8.2,1,Y
IDCJAC0011,86224,1964,03,05,14.0,1,Y
IDCJAC0011,86224,1964,03,06,16.1,1,Y
IDCJAC0011,86224,1964,03,07,12.2,1,Y
IDCJAC0011,86224,1964,03,08,10.3,1,Y
IDCJAC0011,86224,1964,03,09,9.9,1,Y
IDCJAC0011,86224,1964,03,10,6.6,1,Y
IDCJAC0011,86224,1964,03,11,4.7,1,Y
IDCJAC0011,86224,1964,03,12,13.1,1,Y
IDCJAC0011,86224,1964,03,13,9.5,1,Y
IDCJAC0011,86224,1964,03,14,,,
IDCJAC0011,86224,1964,03,15,,,
IDCJAC0011,86224,1964,03,16,,,
IDCJAC0011,86224,1964,03,17,11.2,,Y
IDCJAC0011,86224,1964,03,18,10.4,1,Y
IDCJAC0011,86224,1964,03,19,12.9,1,Y
IDCJAC0011,86224,1964,03,20,11.9,1,Y
IDCJAC0011,86224,1964,03,21,,,
IDCJAC0011,86224,1964,03,22,,,
IDCJAC0011,86224,1964,03,23,,,
IDCJAC0011,86224,1964,03,24,,,
IDCJAC0011,86224,1964,03,25,8.4,,Y
IDCJAC0011,86224,1964,03,26,10.2,1,Y
IDCJAC0011,86224,1964,03,27,,,
IDCJAC0011,86224,1964,03,28,,,
IDCJAC0011,86224,1964,03,29,,,
IDCJAC0011,86224,1964,03,30,,,
IDCJAC0011,86224,1964,03,31,5.2,,Y
IDCJAC0011,86224,1964,04,01,5.0,1,Y
IDCJAC0011,86224,1964,04,02,6.3,1,Y
IDCJAC0011,86224,1964,04,03,7.7,1,Y
IDCJAC0011,86224,1964,04,04,6.8,1,Y
IDCJAC0011,86224,1964,04,05,8.4,1,Y
IDCJAC0011,86224,1964,04,06,20.2,1,Y
IDCJAC0011,86224,1964,04,07,14.3,1,Y
IDCJAC0011,86224,1964,04,08,11.0,1,Y
IDCJAC0011,86224,1964,04,09,7.6,1,Y
IDCJAC0011,86224,1964,04,10,11.2,1,Y
IDCJAC0011,86224,1964,04,11,7.7,1,Y
IDCJAC0011,86224,1964,04,12,2.9,1,Y
IDCJAC0011,86224,1964,04,13,9.8,1,Y
IDCJAC0011,86224,1964,04,14,12.3,1,Y
IDCJAC0011,86224,1964,04,15,9.0,1,Y
IDCJAC0011,86224,1964,04,16,3.0,1,Y
IDCJAC0011,86224,1964,04,17,5.2,1,Y
IDCJAC0011,86224,1964,04,18,,,
IDCJAC0011,86224,1964,04,19,,,
IDCJAC0011,86224,1964,04,20,11.3,,Y
IDCJAC0011,86224,1964,04,21,15.8,1,Y
IDCJAC0011,86224,1964,04,22,15.4,1,Y
IDCJAC0011,86224,1964,04,23,15.2,1,Y
IDCJAC0011,86224,1964,04,24,13.0,1,Y
IDCJAC0011,86224,1964,04,25,12.3,1,Y
IDCJAC0011,86224,1964,04,26,11.1,1,Y
IDCJAC0011,86224,1964,04,27,10.0,1,Y
IDCJAC0011,86224,1964,04,28,11.0,1,Y
IDCJAC0011,86224,1964,04,29,12.1,1,Y
IDCJAC0011,86224,1964,04,30,7.3,1,Y
IDCJAC0011,86224,1964,05,01,12.2,1,Y
IDCJAC0011,86224,1964,05,02,12.8,1,Y
IDCJAC0011,86224,1964,05,03,12.2,1,Y
IDCJAC0011,86224,1964,05,04,11.2,1,Y
IDCJAC0011,86224,1964,05,05,3.8,1,Y
IDCJAC0011,86224,1964,05,06,3.2,1,Y
IDCJAC0011,86224,1964,05,07,4.3,1,Y
IDCJAC0011,86224,1964,05,08,4.3,1,Y
IDCJAC0011,86224,1964,05,09,9.5,1,Y
IDCJAC0011,86224,1964,05,10,9.1,1,Y
IDCJAC0011,86224,1964,05,11,9.8,1,Y
IDCJAC0011,86224,1964,05,12,5.1,1,Y
IDCJAC0011,86224,1964,05,13,10.6,1,Y
IDCJAC0011,86224,1964,05,14,12.3,1,Y
IDCJAC0011,86224,1964,05,15,3.8,1,Y
IDCJAC0011,86224,1964,05,16,9.8,1,Y
IDCJAC0011,86224,1964,05,17,5.1,1,Y
IDCJAC0011,86224,1964,05,18,4.0,1,Y
