Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,85199,1974,01,01,9.5,,Y
IDCJAC0011,85199,1974,01,02,8.0,1,Y
IDCJAC0011,85199,1974,01,03,12.0,1,Y
IDCJAC0011,85199,1974,01,04,16.0,1,Y
IDCJAC0011,85199,1974,01,05,8.5,1,Y
IDCJAC0011,85199,1974,01,06,10.0,1,Y
IDCJAC0011,85199,1974,01,07,9.5,1,Y
IDCJAC0011,85199,1974,01,08,11.0,1,Y
IDCJAC0011,85199,1974,01,09,12.0,1,Y
IDCJAC0011,85199,1974,01,10,15.5,1,Y
IDCJAC0011,85199,1974,01,11,13.5,1,Y
IDCJAC0011,85199,1974,01,12,13.5,1,Y
IDCJAC0011,85199,1974,01,13,15.0,1,Y
IDCJAC0011,85199,1974,01,14,15.5,1,Y
IDCJAC0011,85199,1974,01,15,15.5,1,Y
IDCJAC0011,85199,1974,01,16,16.0,1,Y
IDCJAC0011,85199,1974,01,17,14.5,1,Y
IDCJAC0011,85199,1974,01,18,14.0,1,Y
IDCJAC0011,85199,1974,01,19,13.5,1,Y
IDCJAC0011,85199,1974,01,20,17.0,1,Y
IDCJAC0011,85199,1974,01,21,15.0,1,Y
IDCJAC0011,85199,1974,01,22,12.0,1,Y
IDCJAC0011,85199,1974,01,23,11.0,1,Y
IDCJAC0011,85199,1974,01,24,14.5,1,Y
IDCJAC0011,85199,1974,01,25,16.0,1,Y
IDCJAC0011,85199,1974,01,26,17.0,1,Y
IDCJAC0011,85199,1974,01,27,16.5,1,Y
IDCJAC0011,85199,1974,01,28,17.5,1,Y
IDCJAC0011,85199,1974,01,29,18.5,1,Y
IDCJAC0011,85199,1974,01,30,20.0,1,Y
IDCJAC0011,85199,1974,01,31,19.5,1,Y
IDCJAC0011,85199,1974,02,01,19.0,1,Y
IDCJAC0011,85199,1974,02,02,13.0,1,Y
IDCJAC0011,85199,1974,02,03,9.5,1,Y
IDCJAC0011,85199,1974,02,04,13.0,1,Y
IDCJAC0011,85199,1974,02,05,12.5,1,Y
IDCJAC0011,85199,1974,02,06,11.0,1,Y
IDCJAC0011,85199,1974,02,07,12.5,1,Y
IDCJAC0011,85199,1974,02,08,9.5,1,Y
IDCJAC0011,85199,1974,02,09,13.5,1,Y
IDCJAC0011,85199,1974,02,10,14.0,1,Y
IDCJAC0011,85199,1974,02,11,14.0,1,Y
IDCJAC0011,85199,1974,02,12,16.5,1,Y
IDCJAC0011,85199,1974,02,13,14.0,1,Y
IDCJAC0011,85199,1974,02,14,9.5,1,Y
IDCJAC0011,85199,1974,02,15,11.5,1,Y
IDCJAC0011,85199,1974,02,16,13.5,1,Y
IDCJAC0011,85199,1974,02,17,15.5,1,Y
IDCJAC0011,85199,1974,02,18,16.5,1,Y
IDCJAC0011,85199,1974,02,19,14.5,1,Y
IDCJAC0011,85199,1974,02,20,12.0,1,Y
IDCJAC0011,85199,1974,02,21,12.0,1,Y
IDCJAC0011,85199,1974,02,22,10.5,1,Y
IDCJAC0011,85199,1974,02,23,9.0,1,Y
IDCJAC0011,85199,1974,02,24,9.0,1,Y
IDCJAC0011,85199,1974,02,25,12.0,1,Y
IDCJAC0011,85199,1974,02,26,14.5,1,Y
IDCJAC0011,85199,1974,02,27,14.5,1,Y
IDCJAC0011,85199,1974,02,28,16.0,1,Y
IDCJAC0011,85199,1974,03,01,16.5,1,Y
IDCJAC0011,85199,1974,03,02,17.0,1,Y
IDCJAC0011,85199,1974,03,03,19.5,1,Y
IDCJAC0011,85199,1974,03,04,16.5,1,Y
IDCJAC0011,85199,1974,03,05,17.0,1,Y
IDCJAC0011,85199,1974,03,06,14.0,1,Y
IDCJAC0011,85199,1974,03,07,13.5,1,Y
IDCJAC0011,85199,1974,03,08,15.0,1,Y
IDCJAC0011,85199,1974,03,09,18.5,1,Y
IDCJAC0011,85199,1974,03,10,16.5,1,Y
IDCJAC0011,85199,1974,03,11,17.5,1,Y
IDCJAC0011,85199,1974,03,12,16.5,1,Y
IDCJAC0011,85199,1974,03,13,12.0,1,Y
IDCJAC0011,85199,1974,03,14,14.0,1,Y
IDCJAC0011,85199,1974,03,15,9.0,1,Y
IDCJAC0011,85199,1974,03,16,9.5,1,Y
IDCJAC0011,85199,1974,03,17,12.0,1,Y
IDCJAC0011,85199,1974,03,18,12.0,1,Y
IDCJAC0011,85199,1974,03,19,11.0,1,Y
IDCJAC0011,85199,1974,03,20,14.5,1,Y
IDCJAC0011,85199,1974,03,21,12.5,1,Y
IDCJAC0011,85199,1974,03,22,14.5,1,Y
IDCJAC0011,85199,1974,03,23,15.0,1,Y
IDCJAC0011,85199,1974,03,24,16.0,1,Y
IDCJAC0011,85199,1974,03,25,13.5,1,Y
IDCJAC0011,85199,1974,03,26,15.0,1,Y
IDCJAC0011,85199,1974,03,27,13.5,1,Y
IDCJAC0011,85199,1974,03,28,14.5,1,Y
IDCJAC0011,85199,1974,03,29,15.5,1,Y
IDCJAC0011,85199,1974,03,30,11.0,1,Y
IDCJAC0011,85199,1974,03,31,12.0,1,Y
IDCJAC0011,85199,1974,04,01,11.5,1,Y
IDCJAC0011,85199,1974,04,02,9.5,1,Y
IDCJAC0011,85199,1974,04,03,12.0,1,Y
IDCJAC0011,85199,1974,04,04,8.0,1,Y
IDCJAC0011,85199,1974,04,05,4.0,1,Y
IDCJAC0011,85199,1974,04,06,7.0,1,Y
IDCJAC0011,85199,1974,04,07,12.0,1,Y
IDCJAC0011,85199,1974,04,08,12.0,1,Y
IDCJAC0011,85199,1974,04,09,12.0,1,Y
IDCJAC0011,85199,1974,04,10,12.5,1,Y
IDCJAC0011,85199,1974,04,11,14.5,1,Y
IDCJAC0011,85199,1974,04,12,13.5,1,Y
IDCJAC0011,85199,1974,04,13,11.0,1,Y
IDCJAC0011,85199,1974,04,14,9.0,1,Y
IDCJAC0011,85199,1974,04,15,7.0,1,Y
IDCJAC0011,85199,1974,04,16,6.5,1,Y
IDCJAC0011,85199,1974,04,17,6.5,1,Y
IDCJAC0011,85199,1974,04,18,10.0,1,Y
IDCJAC0011,85199,1974,04,19,12.0,1,Y
IDCJAC0011,85199,1974,04,20,11.5,1,Y
IDCJAC0011,85199,1974,04,21,12.5,1,Y
IDCJAC0011,85199,1974,04,22,11.5,1,Y
IDCJAC0011,85199,1974,04,23,12.5,1,Y
IDCJAC0011,85199,1974,04,24,13.0,1,Y
