Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,80022,1971,01,01,0.0,,Y
IDCJAC0009,80022,1971,01,02,0.0,,Y
IDCJAC0009,80022,1971,01,03,0.0,,Y
IDCJAC0009,80022,1971,01,04,0.0,,Y
IDCJAC0009,80022,1971,01,05,0.0,,Y
IDCJAC0009,80022,1971,01,06,0.0,,Y
IDCJAC0009,80022,1971,01,07,0.0,,Y
IDCJAC0009,80022,1971,01,08,0.0,,Y
IDCJAC0009,80022,1971,01,09,0.0,,Y
IDCJAC0009,80022,1971,01,10,0.0,,Y
IDCJAC0009,80022,1971,01,11,0.0,,Y
IDCJAC0009,80022,1971,01,12,0.0,,Y
IDCJAC0009,80022,1971,01,13,0.0,,Y
IDCJAC0009,80022,1971,01,14,0.0,,Y
IDCJAC0009,80022,1971,01,15,0.0,,Y
IDCJAC0009,80022,1971,01,16,0.0,,Y
IDCJAC0009,80022,1971,01,17,0.0,,Y
IDCJAC0009,80022,1971,01,18,0.0,,Y
IDCJAC0009,80022,1971,01,19,0.0,,Y
IDCJAC0009,80022,1971,01,20,0.0,,Y
IDCJAC0009,80022,1971,01,21,0.0,,Y
IDCJAC0009,80022,1971,01,22,0.0,,Y
IDCJAC0009,80022,1971,01,23,0.0,,Y
IDCJAC0009,80022,1971,01,24,0.0,,Y
IDCJAC0009,80022,1971,01,25,1.3,1,Y
IDCJAC0009,80022,1971,01,26,0.8,1,Y
IDCJAC0009,80022,1971,01,27,1.0,1,Y
IDCJAC0009,80022,1971,01,28,0.0,,Y
IDCJAC0009,80022,1971,01,29,0.0,,Y
IDCJAC0009,80022,1971,01,30,0.0,,Y
IDCJAC0009,80022,1971,01,31,25.4,1,Y
IDCJAC0009,80022,1971,02,01,7.1,1,Y
IDCJAC0009,80022,1971,02,02,2.5,1,Y
IDCJAC0009,80022,1971,02,03,0.0,,Y
IDCJAC0009,80022,1971,02,04,0.0,,Y
IDCJAC0009,80022,1971,02,05,24.9,1,Y
IDCJAC0009,80022,1971,02,06,0.0,,Y
IDCJAC0009,80022,1971,02,07,0.0,,Y
IDCJAC0009,80022,1971,02,08,0.0,,Y
IDCJAC0009,80022,1971,02,09,0.5,1,Y
IDCJAC0009,80022,1971,02,10,0.0,,Y
IDCJAC0009,80022,1971,02,11,0.0,,Y
IDCJAC0009,80022,1971,02,12,0.0,,Y
IDCJAC0009,80022,1971,02,13,0.0,,Y
IDCJAC0009,80022,1971,02,14,0.0,,Y
IDCJAC0009,80022,1971,02,15,0.0,,Y
IDCJAC0009,80022,1971,02,16,0.0,,Y
IDCJAC0009,80022,1971,02,17,0.0,,Y
IDCJAC0009,80022,1971,02,18,0.0,,Y
IDCJAC0009,80022,1971,02,19,0.0,,Y
IDCJAC0009,80022,1971,02,20,0.0,,Y
IDCJAC0009,80022,1971,02,21,0.0,,Y
IDCJAC0009,80022,1971,02,22,5.3,1,Y
IDCJAC0009,80022,1971,02,23,0.0,,Y
IDCJAC0009,80022,1971,02,24,0.0,,Y
IDCJAC0009,80022,1971,02,25,0.0,,Y
IDCJAC0009,80022,1971,02,26,0.0,,Y
IDCJAC0009,80022,1971,02,27,0.0,,Y
IDCJAC0009,80022,1971,02,28,0.0,,Y
IDCJAC0009,80022,1971,03,01,0.0,,Y
IDCJAC0009,80022,1971,03,02,0.0,,Y
IDCJAC0009,80022,1971,03,03,0.0,,Y
IDCJAC0009,80022,1971,03,04,0.0,,Y
IDCJAC0009,80022,1971,03,05,0.0,,Y
IDCJAC0009,80022,1971,03,06,0.0,,Y
IDCJAC0009,80022,1971,03,07,0.0,,Y
IDCJAC0009,80022,1971,03,08,0.0,,Y
IDCJAC0009,80022,1971,03,09,0.0,,Y
IDCJAC0009,80022,1971,03,10,3.0,1,Y
IDCJAC0009,80022,1971,03,11,6.4,1,Y
IDCJAC0009,80022,1971,03,12,0.0,,Y
IDCJAC0009,80022,1971,03,13,0.0,,Y
IDCJAC0009,80022,1971,03,14,0.0,,Y
IDCJAC0009,80022,1971,03,15,4.1,1,Y
IDCJAC0009,80022,1971,03,16,0.0,,Y
IDCJAC0009,80022,1971,03,17,0.0,,Y
IDCJAC0009,80022,1971,03,18,0.0,,Y
IDCJAC0009,80022,1971,03,19,7.9,1,Y
IDCJAC0009,80022,1971,03,20,0.0,,Y
IDCJAC0009,80022,1971,03,21,0.0,,Y
IDCJAC0009,80022,1971,03,22,0.0,,Y
IDCJAC0009,80022,1971,03,23,0.0,,Y
IDCJAC0009,80022,1971,03,24,0.0,,Y
IDCJAC0009,80022,1971,03,25,0.0,,Y
IDCJAC0009,80022,1971,03,26,0.0,,Y
IDCJAC0009,80022,1971,03,27,0.0,,Y
IDCJAC0009,80022,1971,03,28,0.0,,Y
IDCJAC0009,80022,1971,03,29,0.0,,Y
IDCJAC0009,80022,1971,03,30,0.0,,Y
IDCJAC0009,80022,1971,03,31,0.0,,Y
IDCJAC0009,80022,1971,04,01,0.5,1,Y
IDCJAC0009,80022,1971,04,02,0.0,,Y
IDCJAC0009,80022,1971,04,03,0.0,,Y
IDCJAC0009,80022,1971,04,04,0.0,,Y
IDCJAC0009,80022,1971,04,05,0.0,,Y
IDCJAC0009,80022,1971,04,06,0.0,,Y
IDCJAC0009,80022,1971,04,07,0.0,,Y
IDCJAC0009,80022,1971,04,08,0.0,,Y
IDCJAC0009,80022,1971,04,09,0.0,,Y
IDCJAC0009,80022,1971,04,10,0.0,,Y
IDCJAC0009,80022,1971,04,11,0.0,,Y
IDCJAC0009,80022,1971,04,12,0.0,,Y
IDCJAC0009,80022,1971,04,13,0.0,,Y
IDCJAC0009,80022,1971,04,14,0.0,,Y
IDCJAC0009,80022,1971,04,15,0.0,,Y
IDCJAC0009,80022,1971,04,16,0.0,,Y
IDCJAC0009,80022,1971,04,17,0.0,,Y
IDCJAC0009,80022,1971,04,18,11.4,1,Y
IDCJAC0009,80022,1971,04,19,1.3,1,Y
IDCJAC0009,80022,1971,04,20,0.0,,Y
IDCJAC0009,80022,1971,04,21,0.5,1,Y
IDCJAC0009,80022,1971,04,22,5.1,1,Y
IDCJAC0009,80022,1971,04,23,0.0,,Y
IDCJAC0009,80022,1971,04,24,0.0,,Y
IDCJAC0009,80022,1971,04,25,0.0,,Y
IDCJAC0009,80022,1971,04,26,8.1,1,Y
IDCJAC0009,80022,1971,04,27,0.0,,Y
IDCJAC0009,80022,1971,04,28,0.0,,Y
IDCJAC0009,80022,1971,04,29,0.0,,Y
IDCJAC0009,80022,1971,04,30,0.0,,Y
IDCJAC0009,80022,1971,05,01,,,
IDCJAC0009,80022,1971,05,02,,,
IDCJAC0009,80022,1971,05,03,,,
IDCJAC0009,80022,1971,05,04,,,
IDCJAC0009,80022,1971,05,05,,,
IDCJAC0009,80022,1971,05,06,,,
IDCJAC0009,80022,1971,05,07,,,
IDCJAC0009,80022,1971,05,08,,,
IDCJAC0009,80022,1971,05,09,,,
IDCJAC0009,80022,1971,05,10,,,
IDCJAC0009,80022,1971,05,11,,,
IDCJAC0009,80022,1971,05,12,,,
IDCJAC0009,80022,1971,05,13,,,
IDCJAC0009,80022,1971,05,14,,,
IDCJAC0009,80022,1971,05,15,,,
IDCJAC0009,80022,1971,05,16,,,
IDCJAC0009,80022,1971,05,17,,,
IDCJAC0009,80022,1971,05,18,,,
IDCJAC0009,80022,1971,05,19,,,
IDCJAC0009,80022,1971,05,20,,,
IDCJAC0009,80022,1971,05,21,,,
IDCJAC0009,80022,1971,05,22,,,
IDCJAC0009,80022,1971,05,23,,,
IDCJAC0009,80022,1971,05,24,,,
IDCJAC0009,80022,1971,05,25,,,
IDCJAC0009,80022,1971,05,26,,,
IDCJAC0009,80022,1971,05,27,,,
IDCJAC0009,80022,1971,05,28,,,
IDCJAC0009,80022,1971,05,29,,,
IDCJAC0009,80022,1971,05,30,,,
IDCJAC0009,80022,1971,05,31,,,
IDCJAC0009,80022,1971,06,01,,,
IDCJAC0009,80022,1971,06,02,,,
IDCJAC0009,80022,1971,06,03,,,
IDCJAC0009,80022,1971,06,04,,,
IDCJAC0009,80022,1971,06,05,,,
IDCJAC0009,80022,1971,06,06,,,
IDCJAC0009,80022,1971,06,07,,,
IDCJAC0009,80022,1971,06,08,,,
IDCJAC0009,80022,1971,06,09,,,
IDCJAC0009,80022,1971,06,10,,,
IDCJAC0009,80022,1971,06,11,,,
IDCJAC0009,80022,1971,06,12,,,
IDCJAC0009,80022,1971,06,13,,,
IDCJAC0009,80022,1971,06,14,,,
IDCJAC0009,80022,1971,06,15,,,
IDCJAC0009,80022,1971,06,16,,,
IDCJAC0009,80022,1971,06,17,,,
IDCJAC0009,80022,1971,06,18,,,
IDCJAC0009,80022,1971,06,19,,,
IDCJAC0009,80022,1971,06,20,,,
IDCJAC0009,80022,1971,06,21,,,
IDCJAC0009,80022,1971,06,22,,,
IDCJAC0009,80022,1971,06,23,,,
IDCJAC0009,80022,1971,06,24,,,
IDCJAC0009,80022,1971,06,25,,,
IDCJAC0009,80022,1971,06,26,,,
IDCJAC0009,80022,1971,06,27,,,
IDCJAC0009,80022,1971,06,28,,,
IDCJAC0009,80022,1971,06,29,,,
IDCJAC0009,80022,1971,06,30,,,
IDCJAC0009,80022,1971,07,01,,,
IDCJAC0009,80022,1971,07,02,,,
IDCJAC0009,80022,1971,07,03,,,
IDCJAC0009,80022,1971,07,04,,,
IDCJAC0009,80022,1971,07,05,,,
IDCJAC0009,80022,1971,07,06,,,
IDCJAC0009,80022,1971,07,07,,,
IDCJAC0009,80022,1971,07,08,,,
IDCJAC0009,80022,1971,07,09,,,
IDCJAC0009,80022,1971,07,10,,,
IDCJAC0009,80022,1971,07,11,,,
IDCJAC0009,80022,1971,07,12,,,
IDCJAC0009,80022,1971,07,13,,,
IDCJAC0009,80022,1971,07,14,,,
IDCJAC0009,80022,1971,07,15,,,
IDCJAC0009,80022,1971,07,16,,,
IDCJAC0009,80022,1971,07,17,,,
IDCJAC0009,80022,1971,07,18,,,
IDCJAC0009,80022,1971,07,19,,,
IDCJAC0009,80022,1971,07,20,,,
IDCJAC0009,80022,1971,07,21,,,
IDCJAC0009,80022,1971,07,22,,,
IDCJAC0009,80022,1971,07,23,,,
IDCJAC0009,80022,1971,07,24,,,
IDCJAC0009,80022,1971,07,25,,,
IDCJAC0009,80022,1971,07,26,,,
IDCJAC0009,80022,1971,07,27,,,
IDCJAC0009,80022,1971,07,28,,,
IDCJAC0009,80022,1971,07,29,,,
IDCJAC0009,80022,1971,07,30,,,
IDCJAC0009,80022,1971,07,31,,,
IDCJAC0009,80022,1971,08,01,,,
IDCJAC0009,80022,1971,08,02,,,
