Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,81076,1927,01,01,,,
IDCJAC0009,81076,1927,01,02,,,
IDCJAC0009,81076,1927,01,03,,,
IDCJAC0009,81076,1927,01,04,,,
IDCJAC0009,81076,1927,01,05,,,
IDCJAC0009,81076,1927,01,06,,,
IDCJAC0009,81076,1927,01,07,,,
IDCJAC0009,81076,1927,01,08,,,
IDCJAC0009,81076,1927,01,09,,,
IDCJAC0009,81076,1927,01,10,,,
IDCJAC0009,81076,1927,01,11,,,
IDCJAC0009,81076,1927,01,12,,,
IDCJAC0009,81076,1927,01,13,,,
IDCJAC0009,81076,1927,01,14,,,
IDCJAC0009,81076,1927,01,15,,,
IDCJAC0009,81076,1927,01,16,,,
IDCJAC0009,81076,1927,01,17,,,
IDCJAC0009,81076,1927,01,18,,,
IDCJAC0009,81076,1927,01,19,,,
IDCJAC0009,81076,1927,01,20,,,
IDCJAC0009,81076,1927,01,21,,,
IDCJAC0009,81076,1927,01,22,,,
IDCJAC0009,81076,1927,01,23,,,
IDCJAC0009,81076,1927,01,24,,,
IDCJAC0009,81076,1927,01,25,,,
IDCJAC0009,81076,1927,01,26,,,
IDCJAC0009,81076,1927,01,27,,,
IDCJAC0009,81076,1927,01,28,,,
IDCJAC0009,81076,1927,01,29,,,
IDCJAC0009,81076,1927,01,30,,,
IDCJAC0009,81076,1927,01,31,,,
IDCJAC0009,81076,1927,02,01,,,
IDCJAC0009,81076,1927,02,02,,,
IDCJAC0009,81076,1927,02,03,,,
IDCJAC0009,81076,1927,02,04,,,
IDCJAC0009,81076,1927,02,05,,,
IDCJAC0009,81076,1927,02,06,,,
IDCJAC0009,81076,1927,02,07,,,
IDCJAC0009,81076,1927,02,08,,,
IDCJAC0009,81076,1927,02,09,,,
IDCJAC0009,81076,1927,02,10,,,
IDCJAC0009,81076,1927,02,11,,,
IDCJAC0009,81076,1927,02,12,,,
IDCJAC0009,81076,1927,02,13,,,
IDCJAC0009,81076,1927,02,14,,,
IDCJAC0009,81076,1927,02,15,,,
IDCJAC0009,81076,1927,02,16,,,
IDCJAC0009,81076,1927,02,17,,,
IDCJAC0009,81076,1927,02,18,,,
IDCJAC0009,81076,1927,02,19,,,
IDCJAC0009,81076,1927,02,20,,,
IDCJAC0009,81076,1927,02,21,,,
IDCJAC0009,81076,1927,02,22,,,
IDCJAC0009,81076,1927,02,23,,,
IDCJAC0009,81076,1927,02,24,,,
IDCJAC0009,81076,1927,02,25,,,
IDCJAC0009,81076,1927,02,26,,,
IDCJAC0009,81076,1927,02,27,,,
IDCJAC0009,81076,1927,02,28,,,
IDCJAC0009,81076,1927,03,01,,,
IDCJAC0009,81076,1927,03,02,,,
IDCJAC0009,81076,1927,03,03,,,
IDCJAC0009,81076,1927,03,04,,,
IDCJAC0009,81076,1927,03,05,,,
IDCJAC0009,81076,1927,03,06,,,
IDCJAC0009,81076,1927,03,07,,,
IDCJAC0009,81076,1927,03,08,,,
IDCJAC0009,81076,1927,03,09,,,
IDCJAC0009,81076,1927,03,10,,,
IDCJAC0009,81076,1927,03,11,,,
IDCJAC0009,81076,1927,03,12,,,
IDCJAC0009,81076,1927,03,13,,,
IDCJAC0009,81076,1927,03,14,,,
IDCJAC0009,81076,1927,03,15,,,
IDCJAC0009,81076,1927,03,16,,,
IDCJAC0009,81076,1927,03,17,,,
IDCJAC0009,81076,1927,03,18,,,
IDCJAC0009,81076,1927,03,19,,,
IDCJAC0009,81076,1927,03,20,,,
IDCJAC0009,81076,1927,03,21,,,
IDCJAC0009,81076,1927,03,22,,,
IDCJAC0009,81076,1927,03,23,,,
IDCJAC0009,81076,1927,03,24,,,
IDCJAC0009,81076,1927,03,25,,,
IDCJAC0009,81076,1927,03,26,,,
IDCJAC0009,81076,1927,03,27,,,
IDCJAC0009,81076,1927,03,28,,,
IDCJAC0009,81076,1927,03,29,,,
IDCJAC0009,81076,1927,03,30,,,
IDCJAC0009,81076,1927,03,31,,,
IDCJAC0009,81076,1927,04,01,,,
IDCJAC0009,81076,1927,04,02,,,
IDCJAC0009,81076,1927,04,03,,,
IDCJAC0009,81076,1927,04,04,,,
IDCJAC0009,81076,1927,04,05,,,
IDCJAC0009,81076,1927,04,06,,,
IDCJAC0009,81076,1927,04,07,,,
IDCJAC0009,81076,1927,04,08,,,
IDCJAC0009,81076,1927,04,09,,,
IDCJAC0009,81076,1927,04,10,,,
IDCJAC0009,81076,1927,04,11,,,
IDCJAC0009,81076,1927,04,12,,,
IDCJAC0009,81076,1927,04,13,,,
IDCJAC0009,81076,1927,04,14,,,
IDCJAC0009,81076,1927,04,15,,,
IDCJAC0009,81076,1927,04,16,,,
IDCJAC0009,81076,1927,04,17,,,
IDCJAC0009,81076,1927,04,18,,,
IDCJAC0009,81076,1927,04,19,,,
IDCJAC0009,81076,1927,04,20,,,
IDCJAC0009,81076,1927,04,21,,,
IDCJAC0009,81076,1927,04,22,,,
IDCJAC0009,81076,1927,04,23,,,
IDCJAC0009,81076,1927,04,24,,,
IDCJAC0009,81076,1927,04,25,,,
IDCJAC0009,81076,1927,04,26,,,
IDCJAC0009,81076,1927,04,27,,,
IDCJAC0009,81076,1927,04,28,,,
IDCJAC0009,81076,1927,04,29,,,
IDCJAC0009,81076,1927,04,30,,,
IDCJAC0009,81076,1927,05,01,,,
IDCJAC0009,81076,1927,05,02,,,
IDCJAC0009,81076,1927,05,03,,,
IDCJAC0009,81076,1927,05,04,,,
IDCJAC0009,81076,1927,05,05,,,
IDCJAC0009,81076,1927,05,06,,,
IDCJAC0009,81076,1927,05,07,,,
IDCJAC0009,81076,1927,05,08,,,
IDCJAC0009,81076,1927,05,09,,,
IDCJAC0009,81076,1927,05,10,,,
IDCJAC0009,81076,1927,05,11,,,
IDCJAC0009,81076,1927,05,12,,,
IDCJAC0009,81076,1927,05,13,,,
IDCJAC0009,81076,1927,05,14,,,
IDCJAC0009,81076,1927,05,15,,,
IDCJAC0009,81076,1927,05,16,,,
IDCJAC0009,81076,1927,05,17,,,
IDCJAC0009,81076,1927,05,18,,,
IDCJAC0009,81076,1927,05,19,,,
IDCJAC0009,81076,1927,05,20,,,
IDCJAC0009,81076,1927,05,21,,,
IDCJAC0009,81076,1927,05,22,,,
IDCJAC0009,81076,1927,05,23,,,
IDCJAC0009,81076,1927,05,24,,,
IDCJAC0009,81076,1927,05,25,,,
IDCJAC0009,81076,1927,05,26,,,
IDCJAC0009,81076,1927,05,27,,,
IDCJAC0009,81076,1927,05,28,,,
IDCJAC0009,81076,1927,05,29,,,
IDCJAC0009,81076,1927,05,30,,,
IDCJAC0009,81076,1927,05,31,,,
IDCJAC0009,81076,1927,06,01,,,
IDCJAC0009,81076,1927,06,02,,,
IDCJAC0009,81076,1927,06,03,,,
IDCJAC0009,81076,1927,06,04,,,
IDCJAC0009,81076,1927,06,05,,,
IDCJAC0009,81076,1927,06,06,,,
IDCJAC0009,81076,1927,06,07,,,
IDCJAC0009,81076,1927,06,08,,,
IDCJAC0009,81076,1927,06,09,,,
IDCJAC0009,81076,1927,06,10,,,
IDCJAC0009,81076,1927,06,11,,,
IDCJAC0009,81076,1927,06,12,,,
IDCJAC0009,81076,1927,06,13,,,
IDCJAC0009,81076,1927,06,14,,,
IDCJAC0009,81076,1927,06,15,,,
IDCJAC0009,81076,1927,06,16,,,
IDCJAC0009,81076,1927,06,17,,,
IDCJAC0009,81076,1927,06,18,,,
IDCJAC0009,81076,1927,06,19,,,
IDCJAC0009,81076,1927,06,20,,,
IDCJAC0009,81076,1927,06,21,,,
IDCJAC0009,81076,1927,06,22,,,
IDCJAC0009,81076,1927,06,23,,,
IDCJAC0009,81076,1927,06,24,,,
IDCJAC0009,81076,1927,06,25,,,
IDCJAC0009,81076,1927,06,26,,,
IDCJAC0009,81076,1927,06,27,,,
IDCJAC0009,81076,1927,06,28,,,
IDCJAC0009,81076,1927,06,29,,,
IDCJAC0009,81076,1927,06,30,,,
IDCJAC0009,81076,1927,07,01,2.3,1,Y
IDCJAC0009,81076,1927,07,02,0.5,1,Y
IDCJAC0009,81076,1927,07,03,9.1,1,Y
IDCJAC0009,81076,1927,07,04,1.0,1,Y
IDCJAC0009,81076,1927,07,05,0.0,,Y
IDCJAC0009,81076,1927,07,06,5.3,1,Y
IDCJAC0009,81076,1927,07,07,7.9,1,Y
IDCJAC0009,81076,1927,07,08,0.0,,Y
IDCJAC0009,81076,1927,07,09,4.6,1,Y
IDCJAC0009,81076,1927,07,10,0.0,,Y
IDCJAC0009,81076,1927,07,11,0.0,,Y
IDCJAC0009,81076,1927,07,12,0.0,,Y
IDCJAC0009,81076,1927,07,13,0.0,,Y
IDCJAC0009,81076,1927,07,14,0.8,1,Y
IDCJAC0009,81076,1927,07,15,0.0,,Y
IDCJAC0009,81076,1927,07,16,0.3,1,Y
IDCJAC0009,81076,1927,07,17,0.0,,Y
IDCJAC0009,81076,1927,07,18,0.5,1,Y
IDCJAC0009,81076,1927,07,19,0.8,1,Y
IDCJAC0009,81076,1927,07,20,1.3,1,Y
IDCJAC0009,81076,1927,07,21,0.0,,Y
IDCJAC0009,81076,1927,07,22,0.0,,Y
IDCJAC0009,81076,1927,07,23,0.8,1,Y
IDCJAC0009,81076,1927,07,24,0.0,,Y
IDCJAC0009,81076,1927,07,25,0.0,,Y
IDCJAC0009,81076,1927,07,26,0.0,,Y
IDCJAC0009,81076,1927,07,27,0.0,,Y
IDCJAC0009,81076,1927,07,28,0.0,,Y
IDCJAC0009,81076,1927,07,29,0.0,,Y
IDCJAC0009,81076,1927,07,30,0.0,,Y
IDCJAC0009,81076,1927,07,31,3.6,1,Y
IDCJAC0009,81076,1927,08,01,0.3,1,Y
IDCJAC0009,81076,1927,08,02,1.0,1,Y
IDCJAC0009,81076,1927,08,03,1.0,1,Y
IDCJAC0009,81076,1927,08,04,2.5,1,Y
IDCJAC0009,81076,1927,08,05,7.9,1,Y
IDCJAC0009,81076,1927,08,06,3.3,1,Y
IDCJAC0009,81076,1927,08,07,0.0,,Y
IDCJAC0009,81076,1927,08,08,2.5,1,Y
IDCJAC0009,81076,1927,08,09,16.3,1,Y
IDCJAC0009,81076,1927,08,10,2.5,1,Y
IDCJAC0009,81076,1927,08,11,0.0,,Y
IDCJAC0009,81076,1927,08,12,1.0,1,Y
IDCJAC0009,81076,1927,08,13,0.0,,Y
IDCJAC0009,81076,1927,08,14,0.0,,Y
IDCJAC0009,81076,1927,08,15,0.0,,Y
IDCJAC0009,81076,1927,08,16,2.3,1,Y
IDCJAC0009,81076,1927,08,17,0.0,,Y
IDCJAC0009,81076,1927,08,18,0.0,,Y
IDCJAC0009,81076,1927,08,19,0.5,1,Y
IDCJAC0009,81076,1927,08,20,0.5,1,Y
IDCJAC0009,81076,1927,08,21,0.0,,Y
IDCJAC0009,81076,1927,08,22,0.0,,Y
IDCJAC0009,81076,1927,08,23,0.0,,Y
IDCJAC0009,81076,1927,08,24,0.0,,Y
IDCJAC0009,81076,1927,08,25,0.0,,Y
IDCJAC0009,81076,1927,08,26,0.0,,Y
IDCJAC0009,81076,1927,08,27,1.0,1,Y
IDCJAC0009,81076,1927,08,28,4.3,1,Y
IDCJAC0009,81076,1927,08,29,2.0,1,Y
IDCJAC0009,81076,1927,08,30,0.0,,Y
IDCJAC0009,81076,1927,08,31,0.0,,Y
IDCJAC0009,81076,1927,09,01,3.3,1,Y
IDCJAC0009,81076,1927,09,02,0.3,1,Y
IDCJAC0009,81076,1927,09,03,0.0,,Y
