Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,81099,1939,01,01,0.0,,Y
IDCJAC0009,81099,1939,01,02,0.0,,Y
IDCJAC0009,81099,1939,01,03,0.0,,Y
IDCJAC0009,81099,1939,01,04,0.0,,Y
IDCJAC0009,81099,1939,01,05,0.0,,Y
IDCJAC0009,81099,1939,01,06,0.0,,Y
IDCJAC0009,81099,1939,01,07,0.0,,Y
IDCJAC0009,81099,1939,01,08,0.0,,Y
IDCJAC0009,81099,1939,01,09,0.0,,Y
IDCJAC0009,81099,1939,01,10,0.0,,Y
IDCJAC0009,81099,1939,01,11,0.0,,Y
IDCJAC0009,81099,1939,01,12,0.0,,Y
IDCJAC0009,81099,1939,01,13,0.0,,Y
IDCJAC0009,81099,1939,01,14,0.0,,Y
IDCJAC0009,81099,1939,01,15,0.0,,Y
IDCJAC0009,81099,1939,01,16,0.0,,Y
IDCJAC0009,81099,1939,01,17,1.5,1,Y
IDCJAC0009,81099,1939,01,18,0.0,,Y
IDCJAC0009,81099,1939,01,19,0.0,,Y
IDCJAC0009,81099,1939,01,20,0.0,,Y
IDCJAC0009,81099,1939,01,21,0.0,,Y
IDCJAC0009,81099,1939,01,22,0.0,,Y
IDCJAC0009,81099,1939,01,23,0.0,,Y
IDCJAC0009,81099,1939,01,24,0.0,,Y
IDCJAC0009,81099,1939,01,25,0.0,,Y
IDCJAC0009,81099,1939,01,26,0.0,,Y
IDCJAC0009,81099,1939,01,27,0.0,,Y
IDCJAC0009,81099,1939,01,28,0.0,,Y
IDCJAC0009,81099,1939,01,29,0.0,,Y
IDCJAC0009,81099,1939,01,30,0.0,,Y
IDCJAC0009,81099,1939,01,31,0.0,,Y
IDCJAC0009,81099,1939,02,01,0.0,,Y
IDCJAC0009,81099,1939,02,02,0.0,,Y
IDCJAC0009,81099,1939,02,03,0.0,,Y
IDCJAC0009,81099,1939,02,04,0.0,,Y
IDCJAC0009,81099,1939,02,05,0.0,,Y
IDCJAC0009,81099,1939,02,06,0.0,,Y
IDCJAC0009,81099,1939,02,07,0.0,,Y
IDCJAC0009,81099,1939,02,08,0.0,,Y
IDCJAC0009,81099,1939,02,09,0.0,,Y
IDCJAC0009,81099,1939,02,10,0.0,,Y
IDCJAC0009,81099,1939,02,11,0.0,,Y
IDCJAC0009,81099,1939,02,12,0.0,,Y
IDCJAC0009,81099,1939,02,13,0.0,,Y
IDCJAC0009,81099,1939,02,14,0.0,,Y
IDCJAC0009,81099,1939,02,15,0.0,,Y
IDCJAC0009,81099,1939,02,16,0.0,,Y
IDCJAC0009,81099,1939,02,17,23.4,1,Y
IDCJAC0009,81099,1939,02,18,0.0,,Y
IDCJAC0009,81099,1939,02,19,0.0,,Y
IDCJAC0009,81099,1939,02,20,0.0,,Y
IDCJAC0009,81099,1939,02,21,0.0,,Y
IDCJAC0009,81099,1939,02,22,0.0,,Y
IDCJAC0009,81099,1939,02,23,0.0,,Y
IDCJAC0009,81099,1939,02,24,0.0,,Y
IDCJAC0009,81099,1939,02,25,0.0,,Y
IDCJAC0009,81099,1939,02,26,34.0,1,Y
IDCJAC0009,81099,1939,02,27,31.8,1,Y
IDCJAC0009,81099,1939,02,28,14.7,1,Y
IDCJAC0009,81099,1939,03,01,0.0,,Y
IDCJAC0009,81099,1939,03,02,0.0,,Y
IDCJAC0009,81099,1939,03,03,0.0,,Y
IDCJAC0009,81099,1939,03,04,0.0,,Y
IDCJAC0009,81099,1939,03,05,0.0,,Y
IDCJAC0009,81099,1939,03,06,0.0,,Y
IDCJAC0009,81099,1939,03,07,0.0,,Y
IDCJAC0009,81099,1939,03,08,0.0,,Y
IDCJAC0009,81099,1939,03,09,0.0,,Y
IDCJAC0009,81099,1939,03,10,36.3,1,Y
IDCJAC0009,81099,1939,03,11,0.0,,Y
IDCJAC0009,81099,1939,03,12,0.0,,Y
IDCJAC0009,81099,1939,03,13,8.9,1,Y
IDCJAC0009,81099,1939,03,14,0.8,1,Y
IDCJAC0009,81099,1939,03,15,0.0,,Y
IDCJAC0009,81099,1939,03,16,0.0,,Y
IDCJAC0009,81099,1939,03,17,0.0,,Y
IDCJAC0009,81099,1939,03,18,0.0,,Y
IDCJAC0009,81099,1939,03,19,0.0,,Y
IDCJAC0009,81099,1939,03,20,0.0,,Y
IDCJAC0009,81099,1939,03,21,0.0,,Y
IDCJAC0009,81099,1939,03,22,15.5,1,Y
IDCJAC0009,81099,1939,03,23,0.0,,Y
IDCJAC0009,81099,1939,03,24,0.0,,Y
IDCJAC0009,81099,1939,03,25,0.0,,Y
IDCJAC0009,81099,1939,03,26,0.0,,Y
IDCJAC0009,81099,1939,03,27,0.0,,Y
IDCJAC0009,81099,1939,03,28,0.0,,Y
