title, Lat, Lon
 FITZ, -18.1667, 125.5833
 KALY, -18.5500, 124.7167
 PORT, -18.5175, 121.8072
 GLAR, -17.3333, 123.6833
 DAMP, -18.5077, 123.4561
 KOOL, -16.1306, 123.7764
 OOBA, -16.7667, 123.9833
 NOON, -18.5000, 124.8333
 ONE , -16.4508, 123.0653
 KIMB, -16.6872, 123.8375
 YAKK, -17.9343, 123.4736
 DERB, -17.3136, 123.6497
 WEST, -19.3283, 125.3886
 MOWL, -18.5914, 123.6133
 CADJ, -18.7267, 125.9875
 SHEL, -18.9897, 121.7208
 CURT, -17.5768, 123.8297
 CURT, -17.5778, 123.8222
 KIRB, -17.8672, 122.3631
 BROO, -17.9769, 122.3431
 DERB, -17.3436, 123.6781
 MOUN, -17.4311, 123.0389
 WILL, -17.7278, 123.6547
 TANJ, -17.5606, 122.1458
 LARR, -18.8375, 126.5247
 BROO, -17.9492, 122.2339
 DEBE, -17.7981, 124.0772
 BEEF, -18.9894, 125.8478
 SOUT, -17.8578, 122.2725
 FITZ, -18.1814, 125.5619
 WIND, -17.4211, 124.9246
 PILL, -18.3192, 125.7806
 BEVE, -16.7300, 125.4386
 MOUN, -17.0535, 125.7120
 LEOP, -17.7535, 125.3807
 LIVE, -17.9503, 124.2653
 DAMP, -18.5096, 123.4676
 BROO, -18.0019, 122.2162
 MIDD, -16.7742, 122.5762
 BIDA, -17.6450, 123.1678
 LAUR, -18.1105, 125.3347
 ELLE, -17.5669, 124.8411
 SILV, -16.1903, 123.7025
 YAMP, -16.7671, 123.9810
 BROO, -18.0008, 122.2183
 BROO, -17.9475, 122.2352
 BROO, -18.0018, 122.2166
 ABYD, -21.4167, 118.9333
 WOOD, -20.9000, 117.1167
 PORT, -20.3139, 118.5742
 BALF, -22.8000, 120.8625
 BAMB, -20.9264, 120.2075
 BAMB, -22.0517, 119.6325
 BONN, -22.1828, 119.9350
 BOOD, -20.4000, 118.4667
 CARL, -20.6392, 119.2431
 COON, -20.6833, 119.6667
 COOY, -21.0333, 117.1333
 CORU, -21.4667, 119.8333
 DE G, -20.1756, 119.1908
 ETTR, -20.5167, 119.6667
 EGIN, -20.8500, 119.7667
 HILL, -21.7219, 119.3989
 INDE, -20.7867, 118.5972
 STAT, -21.1500, 118.1000
 LIME, -21.1833, 119.8167
 MAND, -19.7419, 120.8433
 MARB, -21.1756, 119.7497
 MOUN, -21.3122, 120.0586
 MUCC, -20.6334, 120.0863
 MULY, -20.4619, 119.5189
 MUND, -20.5192, 118.0603
 NIMI, -20.5000, 119.8000
 NORE, -22.2914, 120.1761
 NULL, -21.8861, 120.1103
 PARD, -20.1078, 119.5811
 COOR, -19.9604, 120.2744
 PILG, -21.4000, 119.4000
 POIN, -20.6267, 117.1925
 PORT, -20.3725, 118.6317
 PYRA, -21.0561, 117.4436
 RPF , -22.0167, 121.4000
 ROEB, -20.7767, 117.1456
 STRE, -20.4681, 119.0556
 TALG, -21.0500, 120.0000
 WALL, -20.7483, 118.8172
 WARA, -20.9484, 117.3732
 WARR, -20.6472, 119.5869
 WARR, -20.8508, 120.6961
 WHIM, -20.8414, 117.8353
 REDM, -21.9931, 119.0131
 WIDJ, -19.5000, 121.3000
 ABYD, -21.6200, 118.9550
 YARR, -20.6739, 120.2044
 TABB, -20.8333, 118.9000
 YAND, -21.2853, 118.4042
 SPLI, -21.6000, 119.6000
 YALG, -21.6000, 119.7000
 BALL, -20.6000, 117.8000
 RPF , -20.5667, 120.6500
 COND, -20.0000, 119.4000
 COSS, -20.6783, 117.1892
 CROY, -21.1000, 117.8000
 KANG, -21.1000, 118.5167
 LALL, -20.8833, 119.1500
 LOCH, -20.7000, 121.0167
 MALL, -20.8822, 118.0308
 MIDD, -21.8000, 120.3000
 MOUN, -21.1000, 117.9833
 MYAD, -20.1000, 119.7500
 POON, -22.2000, 120.2000
 POON, -20.4500, 118.8000
 RPF , -22.7000, 121.1000
 RPF , -21.2000, 121.2000
 SHAW, -20.5500, 119.3000
 WALL, -19.7789, 120.6417
 WARR, -21.3000, 119.8000
 COON, -20.9000, 119.7000
 PYRA, -21.0500, 117.4500
 ROSE, -20.4833, 116.5333
 NICO, -20.9000, 116.9167
 GOLD, -20.3422, 119.5206
 HARD, -21.1389, 117.0850
 HARD, -21.1750, 117.2208
 BARR, -20.7167, 120.8500
 COON, -20.7000, 119.3500
 YAND, -21.3625, 118.8783
 CALL, -20.6350, 120.5000
 CORU, -21.4333, 119.7833
 CAPE, -20.6150, 117.1633
 KARR, -20.7097, 116.7742
 SHAY, -20.4958, 120.1672
 TAMB, -21.7500, 119.1833
 SHER, -20.8956, 117.6447
 HARD, -21.2333, 117.0500
 NORT, -21.1467, 119.4333
 WICK, -20.6744, 117.1428
 ROEB, -20.7594, 117.1583
 KING, -20.5978, 116.7764
 HARD, -20.9786, 117.0953
 STRE, -20.3292, 119.1878
 NIMI, -20.4119, 120.0103
 LEGE, -20.3583, 116.8431
 MOUN, -22.4272, 120.8578
 DAMP, -20.6175, 116.7517
 DE G, -20.2906, 119.2800
 KARR, -20.7381, 116.8489
 BEDO, -19.5894, 119.1000
 R 1 , -20.3167, 119.3333
 MEEN, -21.2669, 120.4544
 NIFT, -21.6525, 121.5592
 PORT, -20.3736, 118.6297
 NULL, -21.8603, 120.1592
 MARB, -21.1756, 119.7497
 PORT, -20.3725, 118.6317
 BOOL, -22.5833, 115.8500
 COOL, -21.8047, 117.8056
 DUCK, -22.5150, 116.5825
 ETHE, -22.8972, 120.1733
 EXMO, -22.3761, 114.1105
 HAME, -22.2794, 117.6775
 KOOL, -22.9119, 116.2903
 LEAR, -22.2406, 114.0967
 MARD, -21.1906, 115.9797
 MARI, -22.6331, 119.4081
 MARR, -22.9742, 114.4597
 MEIL, -22.7000, 115.8000
 MILL, -21.5906, 117.0656
 MIND, -21.9969, 115.0463
 MOUN, -21.7869, 117.8647
 MULG, -22.1039, 118.4703
 ONSL, -21.6364, 115.1117
 ONSL, -21.6689, 115.1092
 PEED, -21.8500, 115.6167
 WARR, -21.6333, 115.8500
 NING, -22.6975, 113.6744
 RANG, -22.2667, 115.4167
 RED , -21.9750, 116.0653
 ROY , -22.6217, 119.9564
 VLAM, -21.8067, 114.1072
 WARR, -22.4000, 119.5333
 WITT, -22.2425, 118.3358
 WITT, -22.3167, 118.3167
 WYLO, -22.6906, 116.2328
 YALL, -21.6767, 116.3928
 YANR, -22.5064, 114.7944
 YARD, -21.8875, 114.0092
 YARR, -21.5703, 115.8786
 KOOR, -22.3419, 114.9319
 MOUN, -22.4558, 116.0508
 TAMB, -21.6000, 117.6000
 GLEN, -22.9367, 115.9825
 KANG, -21.7000, 117.4500
 CHIN, -21.3667, 115.8500
 LEAR, -22.6000, 114.4000
 BALM, -21.1594, 116.1197
 COOR, -22.6000, 116.1000
 DEEP, -21.7000, 116.1000
 DIOM, -21.9000, 115.2000
 FORT, -21.0583, 116.1111
 GIRA, -22.6850, 114.3673
 HARD, -22.7000, 116.1000
 KERD, -22.2500, 119.1000
 NANU, -22.5403, 115.4981
 TABL, -21.6000, 117.6000
 MOUN, -21.6000, 116.4000
 EXMO, -21.9303, 114.1260
 KARR, -20.8831, 116.6725
 EAST, -20.6553, 116.6789
 DEVI, -20.8667, 116.4500
 WITT, -22.2275, 118.3450
 BLAC, -21.2333, 117.0500
 HARD, -21.3417, 117.0833
 BARR, -20.8206, 115.3931
 MOUN, -22.6087, 117.6313
 NAVY, -22.3333, 114.0500
 DAMP, -20.7278, 116.7483
 JAMI, -22.3167, 115.1833
 MOUN, -22.3000, 117.2833
 SAND, -22.7825, 119.6172
 MONT, -20.4167, 115.5500
 UARO, -22.7814, 115.3722
 CANE, -22.0894, 115.6239
 BULL, -22.6811, 114.0394
 PANN, -21.6392, 116.3308
 ROBE, -21.3567, 115.8208
 PIND, -21.3444, 115.9356
 TOM , -22.6967, 117.7703
 HOOL, -21.8836, 118.2217
 MARA, -22.6344, 118.1119
 NAVY, -21.8222, 114.1714
 TOM , -22.7450, 117.6656
 EXMO, -21.9325, 114.1111
 URAL, -21.7666, 114.8211
 THEV, -21.4625, 115.0194
 CAPE, -22.1033, 113.9997
 DAMP, -20.6544, 116.6822
 ERAM, -21.0544, 116.2575
 KARR, -20.7692, 116.8603
 ROCK, -22.8853, 117.4464
 FORT, -21.2947, 116.1383
 MILL, -21.5833, 117.0500
 MULY, -21.2475, 116.0733
 PACK, -22.9003, 118.7031
 MOUN, -21.9711, 115.4324
 DAMP, -20.6561, 116.7233
 LEAR, -22.2367, 114.0869
 AUSK, -22.3767, 118.6886
 BARR, -20.8740, 115.4066
 CHEE, -22.9367, 116.9731
 POIN, -21.8167, 114.1910
 LEAR, -22.2183, 114.1031
 KARI, -22.2999, 118.4498
 KARR, -20.9924, 116.8758
 LEAR, -22.2406, 114.0967
 BIDG, -25.0417, 115.3092
 BILL, -27.4231, 115.8347
 BINT, -24.6850, 114.8358
 BOOL, -24.6525, 113.6936
 BOOL, -24.3333, 114.0242
 BRIC, -24.8208, 113.7853
 BULL, -27.8550, 115.6733
 TALI, -26.2739, 115.2578
 CALL, -25.0481, 114.0294
 CARD, -23.1044, 113.8038
 CARE, -25.6114, 115.4625
 CARN, -24.8878, 113.6700
 CARR, -26.4628, 113.5050
 COBU, -26.6972, 114.3181
 COOK, -23.5000, 114.1000
 COOR, -24.4453, 114.0779
 CORD, -23.3000, 114.7000
 DAIR, -25.2786, 115.8633
 DIRK, -26.0333, 113.2167
 DOOR, -24.8060, 114.4310
 EDAG, -25.3600, 114.2292
 EUDA, -24.4508, 115.6072
 GASC, -25.0544, 115.2100
 GNAR, -23.8222, 113.5256
 GOOM, -24.6667, 114.3500
 HAME, -26.3994, 114.1658
 HAME, -26.4278, 114.1916
 JIMB, -25.0442, 115.1331
 THE , -26.4000, 114.4667
 LYND, -23.6361, 115.2461
 LYON, -24.6314, 115.3383
 MANG, -23.9150, 115.6183
 MARD, -24.4733, 114.5553
 MARO, -23.4796, 115.5478
 MARR, -25.3656, 114.3594
 MEAD, -26.7025, 114.6183
 MEED, -25.6631, 114.6261
 MERL, -24.3142, 115.1892
 MIA , -23.3817, 114.4375
 MINI, -23.8497, 113.9714
 MINN, -24.0306, 115.6967
 MOOG, -24.0633, 115.2050
 MOUN, -24.4117, 115.3958
 NEW , -27.3700, 115.6517
 DENH, -25.9265, 113.5325
 TAMA, -26.6969, 113.7158
 TOWE, -23.1747, 115.1194
 TOWR, -25.4050, 115.2267
 TWIN, -27.3853, 115.9664
 WAIL, -27.1000, 115.5000
 WAND, -23.7647, 114.5539
 WAND, -27.9864, 115.6306
 WILL, -23.8608, 115.1475
